factors,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
size_mktcap,0.0004236215196833119,0.0004292692048044245,0.00041966939004789205,0.00039849697612476015,0.00036511141243991446,0.00032440608358950176,0.0002762310813961534,0.00021834963243260307,0.0001573774721503493,5.7455640333835826e-05
value_epratio,0.0001566901526323884,0.0002511097859377091,0.00031556629528439896,0.00035132785961589015,0.000368366856118492,0.00038419445381542467,0.00035435663583854746,0.00032439748138815355,0.00023384300781530815,0.00011429317603523278
value_bmratio,0.00016081678335203335,0.0002973667502391402,0.00035600834740874635,0.00038928353704522343,0.00040904910531799183,0.00040054065382373995,0.0003783590369948368,0.00032287781929359695,0.0002456376514785639,0.00010095817810078093
value_cpratio,0.0001707695669168437,0.0002556104202541117,0.00026634627637735616,0.000260570067737555,0.0002512839562979916,0.0002607454535765057,0.00027662766775546544,0.0002716982537574212,0.0002561903711003838,0.00016768939111394478
profitability_roe,0.00015177079530790636,0.00021263607618402262,0.00023270529955180482,0.00023858781515101853,0.00024942145830235505,0.00025941782005845903,0.00022666314418274828,0.00021372284812668966,0.00019376909459893778,0.0001350793734950763
profitability_PMU,0.00014759861417145605,0.00020874342168272875,0.00023153598104186143,0.00024306301944078136,0.0002498973596218957,0.0002502555845195641,0.00024548799654217134,0.00022641417439951632,0.00020109119131383256,0.000134851720693438
profitability_PMUTTM,0.00011082938248327038,0.00016390468797025415,0.00019283413222041194,0.00021132710486523298,0.00021051002971804512,0.00021547056943912532,0.00021331684500342684,0.0001921360750307598,0.00017657592217432125,0.00010670571084996779
volatility_MAX,0.0005261330253580475,0.0008591118897082078,0.0009113503863906643,0.000932220042924213,0.0009296954583291245,0.0009058632421150294,0.0008707881543691641,0.0008007005889072894,0.0006845764933648056,0.0005070995603885808
volatility_onemonthv,0.00038654501370289344,0.000883857803139841,0.0010186088189194902,0.0010841777522679133,0.0011005433466415603,0.001102103270860552,0.0010692045786156105,0.0010151832829135342,0.0008811135881801002,0.0005171707627525496
volatility_threemonthv,0.00018627532890094678,0.0004948338070274847,0.000621282334492242,0.0006957715184526753,0.0007319064719633183,0.000737231083821157,0.0007119142128599558,0.0006497409237844824,0.000531228287469486,0.0002781893712670499
volatility_sixmonthv,0.00013718198725607187,0.000352699768302427,0.00043510903610315116,0.0004977413785460028,0.0005207838590192386,0.0005263505674878938,0.0005050682528588001,0.00046429628698695406,0.000378487058164257,0.00020763812369768367
volatility_twelvemonthv,9.881434777887295e-05,0.0002570118147045325,0.0003236755237821636,0.0003555350498144094,0.00038118993864901337,0.0003874052669495436,0.00037235824946180824,0.0003420035129169998,0.0002850633794686777,0.00016792265105768442
volatility_oneyearmv,0.0005594676897178822,0.0011391483075783291,0.0012236115159872689,0.0012649274987105827,0.0012708698205936887,0.0012714487393662617,0.0012394297085116669,0.0011705242648181841,0.0010292514241258557,0.000592625705756916
volatility_twoyearmv,0.0004640829316039355,0.0010373662716646177,0.0011460981570752204,0.0011886414046563781,0.0012105402450828106,0.0012017378050608002,0.001162692384727282,0.0011160717035611075,0.0009979347630745912,0.0005708071542868961
volatility_threeyearmv,0.000393284269760321,0.0009419039417459774,0.0010647754449897733,0.0011058847923943124,0.001119107668456982,0.001115778930914366,0.0010984213161074282,0.0010511313618207334,0.000943946373672534,0.0005218826644389083
investment_annualassetgrowth,0.00013013618041076946,0.00016888812338476834,0.00017893213391579138,0.00021330226460858197,0.00019896151677726383,0.00017936885524923044,0.00018306090896031104,0.00017010332489677654,0.00015717764995318442,0.00011905063292414656
investment_quarterlyassetgrowth,0.00018393433957918174,0.0002245680804534328,0.00021915054489439579,0.0002496698750993414,0.00026789102038767633,0.00025955958734261175,0.0002498958230834411,0.00024171662799773048,0.00021375241053215582,0.00018021272201798334
accruals_accruals,6.42222771846057e-05,0.00015406611970307684,0.00017733283017273805,0.0001988789238170335,0.00020358162438798792,0.00019954247701810683,0.00019838522586124256,0.0001837667634109884,0.00016411248201569608,0.00010160440470569963
accruals_noas,8.435480868412314e-05,0.0001713819226596591,0.00020221681529154398,0.0002183037894656137,0.0002355673614454043,0.00022365507140394318,0.00022296790891697477,0.00021874317730281103,0.00019356989543023817,0.00013737446045881176
illiquidity_illiquidity,0.0001672668624410212,0.0005332447562152411,0.0006934444247021822,0.0007897847997181745,0.000830239553978109,0.0008377697608572854,0.0008107151269824333,0.0007400031650536332,0.0006101444067160703,0.0003236457368497151
turnover_twelvemturnover,6.744084841941616e-05,0.00018779247840707843,0.00022226325237794832,0.0002559202975747155,0.0002652210708144125,0.0002743905644398065,0.00027280944392290245,0.00025801711672001026,0.00022174064808838306,0.00014153706356172653
turnover_onemabturnover,0.0003916399484093441,0.0007793357040876658,0.000934779068819751,0.00099779080308681,0.0010210748142475258,0.0010105585127090186,0.0010056523215592002,0.0009346103197966996,0.0007915617779711685,0.00042652628585470096
momandrev_onemonthreturn,0.0008654736020775622,0.0011886370367978584,0.0012637286963121056,0.0012914614190801428,0.0013042505390856091,0.001298655968754489,0.0012879243448770477,0.0012445298801303949,0.0011552316666734554,0.0007877567941245157
momandrev_lagelemreturn,0.0003621080248570801,0.0006975229286933906,0.0008365439710470362,0.0008804701626033683,0.0008950546979449808,0.0008876688321801748,0.0008371388764168642,0.000759994434949819,0.0006171343647657919,0.0003028935659154157
