factors,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
size_mktcap,0.10980445053335672,0.19743690793201013,0.28178743563091524,0.2694599007887987,0.36988374841924865,0.3684622834032125,0.36713561568533815,0.36035079056024955,0.2810566612533649,0.40881535214946907
value_epratio,0.685425970347127,0.2828211192297197,0.26606136451523166,0.6376207697317003,0.5641716674843371,0.8022622356760587,0.8218017192602022,0.6004473090295277,0.5140286218818501,0.23258382872634656
value_bmratio,0.9804227506060554,0.6274010833103232,0.7053101710351389,0.918774407796463,0.9328963836353888,0.7504114275643605,0.4521170836426841,0.4254177003157006,0.9744332385929411,0.19386679460712825
value_cpratio,0.6765306316967272,0.6340519874465576,0.9282735867927523,0.9490582619226782,0.4413079527364001,0.36444687158551836,0.24511349959865902,0.11870093514809803,0.45846651386431225,0.09210513792203065
profitability_roe,0.4813259888084346,0.3313172037958344,0.3648118658035109,0.287602713812854,0.31901401424346343,0.4182368477316939,0.6138789896735986,0.39502860121980066,0.4809711632783481,0.3587605449353808
profitability_PMU,0.39051352979967013,0.7384570949519128,0.9115847053725011,0.9320535498475446,0.8782987976615522,0.618280077667849,0.9219716555681081,0.21027213526725458,0.015557105812697314,0.0024708556854814035
profitability_PMUTTM,0.966733945931282,0.6981254679366522,0.46909155271677494,0.48758113407739423,0.4453323837623978,0.6137531363716753,0.37466638805624286,0.5701844663030342,0.04373246082962217,0.009439072218503746
volatility_MAX,0.8267742670737642,0.7854600708004789,0.5985832543411134,0.7844419699043452,0.6579079949149136,0.7885990771395769,0.923663166158794,0.7910422564679918,0.7886014575271786,0.7307162264769047
volatility_onemonthv,0.7178539031642025,0.9037244681198667,0.5690542694742738,0.7869119373647944,0.7202180896814885,0.6275058606677064,0.9467880558898581,0.38812229082327854,0.9541737567994601,0.8028643282900978
volatility_threemonthv,0.3789971284630005,0.30550169265707855,0.3685064467735264,0.8176590688790846,0.39297689075536013,0.5666849801264748,0.9788389500015462,0.6226134771030227,0.8802285996651401,0.8625681104822062
volatility_sixmonthv,0.36977891343790104,0.2251491661824717,0.309266070065669,0.31189232071069567,0.4809450643202411,0.6847905999679705,0.4011161022788452,0.9267291204449535,0.9588431973752558,0.726385946230186
volatility_twelvemonthv,0.3243453918719045,0.09019746202072093,0.2548180918203587,0.3116737866455132,0.21498804727385362,0.5536346688499892,0.591141784542359,0.7693330628558247,0.5776511920219839,0.8400691158451881
volatility_oneyearmv,0.4789969692126581,0.9939365119236465,0.6270390016694879,0.9579298689946266,0.6503851766030183,0.7179398270021897,0.9658138018257412,0.7618378925354514,0.832919448975738,0.922279517275776
volatility_twoyearmv,0.6020616379940793,0.937457447472114,0.9094352162733965,0.8565113859515876,0.9785948216072865,0.9726310546027525,0.9536522501289831,0.8652785905357492,0.7471557990981105,0.6844112442864847
volatility_threeyearmv,0.4668942074914406,0.6987502031530843,0.9881614962951728,0.9637060861995329,0.8648536740136917,0.8030724826322919,0.8370912681397854,0.8762553111281288,0.9028708110109926,0.7726372009260354
investment_annualassetgrowth,0.8062131276565493,0.6783133438272575,0.46619332813518244,0.693321097944965,0.8213509231650951,0.5931891082813938,0.4573131101364256,0.32159614505388795,0.3352383341898223,0.3672246381690798
investment_quarterlyassetgrowth,0.9934166231288162,0.8399548323784013,0.9706919117852455,0.7778666411021955,0.9188455000119304,0.44726533591873274,0.19697848885244165,0.16296208576359789,0.2313901492457042,0.10412506698702832
accruals_accruals,0.4486097334018838,0.43638438288190495,0.33867474745661186,0.36964246450218685,0.5171957526235371,0.4609699236167597,0.5263302266859077,0.5699700857443073,0.5874356925005481,0.5609267711852902
accruals_noas,0.35601423121309095,0.2756696477627515,0.3766430464434446,0.20829293721566558,0.37166322166697974,0.26655421900488563,0.8207167143802885,0.5175663761324553,0.838935727525878,0.3639494040680694
illiquidity_illiquidity,0.8682483044911767,0.8560177709194646,0.6277959351039505,0.45580498010795956,0.6061165695405633,0.32757726829962064,0.3705321681585818,0.2907344205654384,0.11011408821228182,0.1882942102629855
turnover_twelvemturnover,0.27913283962095814,0.2657662191577275,0.14456524918556296,0.1561481774077899,0.20353520267014197,0.3486326323993214,0.35947455743886925,0.6147673688072792,0.6026181040025198,0.7724939503296988
turnover_onemabturnover,0.31695760690444685,0.45113162609138335,0.5055675233026596,0.38941473197959353,0.5691275530896907,0.6769430932068161,0.5441604350888525,0.847718515708681,0.6155357741066365,0.09906594161667771
momandrev_onemonthreturn,0.4893018375927327,0.6092770639305433,0.8749343873335433,0.7820268885958213,0.8971799585323732,0.8865883102742848,0.9968318899196758,0.9239056850462702,0.798199162733301,0.37315294125288256
momandrev_lagelemreturn,0.9829310681311094,0.8300778452621338,0.9484525520635056,0.9433078366397079,0.7086037032376304,0.9846960433630171,0.8628393652741488,0.6096070841152037,0.3990805537325466,0.31737311956736414
