factors,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,LongShort
size_mktcap,0.05433302622180497,0.10485965635303546,0.16008063518671903,0.15575087885171637,0.2333062922366987,0.24343754651112975,0.2572895570012128,0.2701362648090271,0.22298322353910627,0.37588779418505947,0.10354060555937997
value_epratio,0.5909849480224328,0.19900072976133903,0.16678683999789126,0.43866022864845633,0.36582974467238205,0.5499570990562195,0.5753832654022315,0.4062142789012668,0.3771908357145588,0.19144102715254124,0.4486213273442998
value_bmratio,0.8648239658211638,0.45620073395487104,0.4949130773857413,0.6607448590746678,0.653591757072641,0.5054595614897561,0.27492847687053745,0.27346717098508105,0.7845393979569907,0.16012941512369092,0.23718341406084795
value_cpratio,0.560475963036581,0.474727193333212,0.7378326362818357,0.7620441864345203,0.31420922565932285,0.2508589501556059,0.15289548936409803,0.0690327027675999,0.3220150917816086,0.06348826242305415,0.009861277324201445
profitability_roe,0.3986998628972197,0.2400944989028082,0.25955427421500166,0.1924393232605754,0.21059794540581944,0.2837146636324298,0.4557117498075419,0.27671659162470424,0.358753861771281,0.2897815529241647,0.8754413830515932
profitability_PMU,0.46168539701132294,0.8776960129983009,0.9280406095373055,0.7644071066108236,0.7070405727216886,0.46910989094103395,0.7407369324871304,0.14323266531149828,0.009162324969481335,0.0016170095625891864,2.4988439617060997e-08
profitability_PMUTTM,0.9613138200728357,0.59661220114598,0.3706681134631249,0.3784886629239177,0.3369653115913195,0.48734260186560474,0.2769168320010284,0.4532636920385954,0.02919870038545908,0.006947268671816137,0.0008723651145413254
volatility_MAX,0.4014101693008211,0.24554808311511517,0.1564499479172219,0.2478419331302064,0.1997500593114134,0.2797980694389889,0.5057833281632953,0.34480975624510557,0.4073798545841776,0.45908235012081533,0.7859205887697394
volatility_onemonthv,0.39909034801558285,0.2895303352780778,0.11969341715318804,0.20434161243527504,0.1810103036071992,0.15275701339024586,0.40511106049738177,0.09350511292586987,0.5405066785241042,0.9049646491374324,0.6388137682649048
volatility_threemonthv,0.2652007144314418,0.12160930292077052,0.13065015714427572,0.38281375452246913,0.13191319120976316,0.22547343213022372,0.5429461239997613,0.3157244387843255,0.5863543182977418,0.9836263437818175,0.45035889956826225
volatility_sixmonthv,0.2860273830049268,0.11251583266493943,0.14808294952101536,0.1408873468602891,0.24021769675344937,0.3927233818857958,0.21051309919159067,0.6472944786085671,0.7328353308861131,0.835741398228995,0.3023559129704898
volatility_twelvemonthv,0.2675036999868976,0.050485801642011906,0.14562789078575894,0.17847588545344897,0.114185485837671,0.3548434068809724,0.40119442929388016,0.5728866402099584,0.44046406683598915,0.9330748625493759,0.35424478039401663
volatility_oneyearmv,0.1689552643728614,0.24151261355350323,0.09456814863035708,0.26041341169191595,0.4834162500366763,0.13644694657450673,0.3096509323908264,0.5155027121894118,0.3042016550099935,0.728062680876306,0.4656068460593755
volatility_twoyearmv,0.28158588640077775,0.3194539219859466,0.22563294947189963,0.3471171107553884,0.2634460385443524,0.30596958175486616,0.3520193153372545,0.44866224367029994,0.6332017151091337,0.9788657494708051,0.3629868704098187
volatility_threeyearmv,0.23629188920000177,0.17651129804907045,0.2866946023891099,0.27293075320700017,0.23319270870555311,0.21837253164524378,0.4561928573498283,0.47320289986520847,0.5188630968188188,0.9093127186326586,0.3457070466002462
investment_annualassetgrowth,0.7182350595369299,0.5636254503974139,0.36302487823060037,0.5397032307230967,0.985189570323596,0.478352745840699,0.3585932619637462,0.2519966737181361,0.27000672230104983,0.31589415966280204,0.19782707432764943
investment_quarterlyassetgrowth,0.8793170228477273,0.9939609794190298,0.801754075279998,0.5977584382832248,0.7139004878354378,0.308984593502058,0.12602248093034243,0.10426219895323578,0.16352863598436454,0.07493994323280709,0.00013366629220959328
accruals_accruals,0.4110458571481138,0.3565697611016305,0.26344657894562407,0.28262209188244286,0.4094887619857419,0.3628188188372321,0.42025181380370646,0.465063073524131,0.49108818898040285,0.5021567262420634,0.9192732802905539
accruals_noas,0.30954894671776234,0.20896773955829737,0.28388160732588785,0.14485314690628215,0.2678738444247046,0.19034026653299752,0.9882310692731631,0.39709094495062625,0.7022821024831488,0.300707115803641,0.7824259654669066
illiquidity_illiquidity,0.7370231133168486,0.49080307014345026,0.2721947193074961,0.14920962432345833,0.21098637651452182,0.08753690832283918,0.10520899159939658,0.08382976404663244,0.031204433752622624,0.10612736661568742,0.0956753563584672
turnover_twelvemturnover,0.24749745187982214,0.19449263917431242,0.09435259453120257,0.09781655939616232,0.12972992638022093,0.23740164690716875,0.2494835123350832,0.47216873090337796,0.4866702735133429,0.8528735769972268,0.20050776953612554
turnover_onemabturnover,0.16771612438132277,0.1276373831486448,0.11441505754010557,0.06791731693866365,0.11755357174857167,0.15984737795025963,0.12568513489479,0.3092010239027427,0.8557257967756395,0.18901828231040732,7.721210716207332e-05
momandrev_onemonthreturn,0.1623098221022668,0.11543044234100375,0.196592628322388,0.3555202680494378,0.26456878169964465,0.16094738127403332,0.2299961984613723,0.2118302608376053,0.42129349553728235,0.8102510200044788,0.03984112427131986
momandrev_lagelemreturn,0.7690229989722963,0.3871305659309905,0.4647454597755938,0.36048575947259964,0.2185116999498146,0.4132828315991386,0.34460733979259395,0.2318904608001188,0.16886691439051646,0.21243651067599742,0.1993866569981257
