window_period,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
"['2000-01-02', '2000-01-09']",0,0,0,0,0,0,0,0,0,0
"['2000-01-09', '2000-01-16']",0,0,0,0,0,0,0,0,0,0
"['2000-01-16', '2000-01-23']",0,0,0,0,0,0,0,0,0,0
"['2000-01-23', '2000-01-30']",0,0,0,0,0,0,0,0,0,0
"['2000-01-30', '2000-02-06']",0,0,0,0,0,0,0,0,0,0
"['2000-02-06', '2000-02-13']",0,0,0,0,0,0,0,0,0,0
"['2000-02-13', '2000-02-20']",0,0,0,0,0,0,0,0,0,0
"['2000-02-20', '2000-02-27']",0,0,0,0,0,0,0,0,0,0
"['2000-02-27', '2000-03-05']",0,0,0,0,0,0,0,0,0,0
"['2000-03-05', '2000-03-12']",0,0,0,0,0,0,0,0,0,0
"['2000-03-12', '2000-03-19']",0,0,0,0,0,0,0,0,0,0
"['2000-03-19', '2000-03-26']",0,0,0,0,0,0,0,0,0,0
"['2000-03-26', '2000-04-02']",0,0,0,0,0,0,0,0,0,0
"['2000-04-02', '2000-04-09']",0,0,0,0,0,0,0,0,0,0
"['2000-04-09', '2000-04-16']",0,0,0,0,0,0,0,0,0,0
"['2000-04-16', '2000-04-23']",0,0,0,0,0,0,0,0,0,0
"['2000-04-23', '2000-04-30']",0,0,0,0,0,0,0,0,0,0
"['2000-04-30', '2000-05-07']",0,0,0,0,0,0,0,0,0,0
"['2000-05-07', '2000-05-14']",0,0,0,0,0,0,0,0,0,0
"['2000-05-14', '2000-05-21']",0,0,0,0,0,0,0,0,0,0
"['2000-05-21', '2000-05-28']",0,0,0,0,0,0,0,0,0,0
"['2000-05-28', '2000-06-04']",0,0,0,0,0,0,0,0,0,0
"['2000-06-04', '2000-06-11']",0,0,0,0,0,0,0,0,0,0
"['2000-06-11', '2000-06-18']",0,0,0,0,0,0,0,0,0,0
"['2000-06-18', '2000-06-25']",0,0,0,0,0,0,0,0,0,0
"['2000-06-25', '2000-07-02']",0,0,0,0,0,0,0,0,0,0
"['2000-07-02', '2000-07-09']",0,0,0,0,0,0,0,0,0,0
"['2000-07-09', '2000-07-16']",0,0,0,0,0,0,0,0,0,0
"['2000-07-16', '2000-07-23']",0,0,0,0,0,0,0,0,0,0
"['2000-07-23', '2000-07-30']",0,0,0,0,0,0,0,0,0,0
"['2000-07-30', '2000-08-06']",0,0,0,0,0,0,0,0,0,0
"['2000-08-06', '2000-08-13']",0,0,0,0,0,0,0,0,0,0
"['2000-08-13', '2000-08-20']",0,0,0,0,0,0,0,0,0,0
"['2000-08-20', '2000-08-27']",0,0,0,0,0,0,0,0,0,0
"['2000-08-27', '2000-09-03']",0,0,0,0,0,0,0,0,0,0
"['2000-09-03', '2000-09-10']",0,0,0,0,0,0,0,0,0,0
"['2000-09-10', '2000-09-17']",0,0,0,0,0,0,0,0,0,0
"['2000-09-17', '2000-09-24']",0,0,0,0,0,0,0,0,0,0
"['2000-09-24', '2000-10-01']",0,0,0,0,0,0,0,0,0,0
"['2000-10-01', '2000-10-08']",0,0,0,0,0,0,0,0,0,0
"['2000-10-08', '2000-10-15']",0,0,0,0,0,0,0,0,0,0
"['2000-10-15', '2000-10-22']",0,0,0,0,0,0,0,0,0,0
"['2000-10-22', '2000-10-29']",0,0,0,0,0,0,0,0,0,0
"['2000-10-29', '2000-11-05']",0,0,0,0,0,0,0,0,0,0
"['2000-11-05', '2000-11-12']",0,0,0,0,0,0,0,0,0,0
"['2000-11-12', '2000-11-19']",0,0,0,0,0,0,0,0,0,0
"['2000-11-19', '2000-11-26']",0,0,0,0,0,0,0,0,0,0
"['2000-11-26', '2000-12-03']",0,0,0,0,0,0,0,0,0,0
"['2000-12-03', '2000-12-10']",0,0,0,0,0,0,0,0,0,0
"['2000-12-10', '2000-12-17']",0,0,0,0,0,0,0,0,0,0
"['2000-12-17', '2000-12-24']",0,0,0,0,0,0,0,0,0,0
"['2000-12-24', '2000-12-31']",0,0,0,0,0,0,0,0,0,0
"['2000-12-31', '2001-01-07']",0,0,0,0,0,0,0,0,0,0
"['2001-01-07', '2001-01-14']",0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
"['2001-01-14', '2001-01-21']",6.950886832392722e-05,0.0001714806251336972,0.0002637559172716538,0.00031747733717946787,0.00020956611611745176,0.00014846855401925627,0.0003414217767948877,0.0002699698516896921,0.00027852272289324376,5.713115634340592e-05
"['2001-01-21', '2001-01-28']",4.0946888322109946e-05,0.0001751526145898493,0.0002746129674523555,0.000378828287172614,0.000251056303669453,0.00017405488651408207,9.3887420217629e-05,5.8349462152463834e-05,7.360301762880238e-05,4.0640936896280355e-05
"['2001-01-28', '2001-02-04']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2001-02-04', '2001-02-11']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2001-02-11', '2001-02-18']",3.960652537951538e-05,0.00011084505191732476,0.00012456692209461442,0.00020089745593183022,0.00018585803089856166,0.00017481144399192943,0.0002347599594988923,0.00022709237589985999,0.00014473139811918312,0.00010074293879674498
"['2001-02-18', '2001-02-25']",4.9776299142368536e-05,0.00018025036885691663,0.00020637769395769268,0.00024845581607598816,0.00016172352025212503,0.00019157483611142805,0.0002465899716059435,0.00025525028602870777,9.315179316387627e-05,2.7936336075019405e-05
