window_period,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
"['2000-01-02', '2000-01-09']",,,,,,,,,,
"['2000-01-09', '2000-01-16']",-0.059459619963311755,-0.07095238990974609,-0.05834709706613547,-0.06382033688092548,-0.06780365408759526,-0.07099016196969671,-0.06852102682777807,-0.08301638424066891,-0.0689481621374776,-0.07456984743820855
"['2000-01-16', '2000-01-23']",0.07802623941144972,0.05915721579728606,0.06955570392973097,0.06191379395226756,0.04418078170908482,0.05549171636580656,0.02697717474483309,0.04252824507539154,0.031047898118044016,0.016118978324905237
"['2000-01-23', '2000-01-30']",0.08774856461006472,0.06452801519570807,0.06544380573319093,0.0731569761108906,0.060180070295033236,0.050708277013274614,0.0315480206228776,0.029960886062398794,0.0442214993780882,0.01944639061142206
"['2000-01-30', '2000-02-06']",-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765
"['2000-02-06', '2000-02-13']",-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765
"['2000-02-13', '2000-02-20']",0.1247422113338404,0.09777836131721646,0.07978267283609193,0.09958686759536214,0.06040558290768074,0.1202536614665506,0.08946227527832469,0.09611643761473271,0.11239885275037682,0.07415523592749466
"['2000-02-20', '2000-02-27']",-0.03313867985570225,-0.051070658634372774,-0.03863194762841794,-0.046080638321895344,-0.036890637587880436,-0.027595228395741474,-0.019574480325773143,-0.004556511718233718,-0.015744006771088583,0.018525576672774467
"['2000-02-27', '2000-03-05']",0.05109393349788413,0.07579453246572641,0.06623870927977271,0.06438499682058166,0.06129320582311762,0.03585177866951438,0.054656374949404084,0.03946621607778472,0.053114906644849365,0.09427965357522226
"['2000-03-05', '2000-03-12']",-0.014697773581614983,-0.005890531246020491,-0.039006140778702014,-0.020168602622343643,-0.015080247240393708,0.005028224366847305,0.002685430736027122,-0.03081630386210832,-0.02527388058742916,-0.04593171301462574
"['2000-03-12', '2000-03-19']",-0.04181381041843849,-0.0311474813253321,-0.032754429859322406,-0.03869369756575851,-0.0028092263826913423,-0.05378321738028656,-0.02709224135754192,-0.015697062405526204,0.005232270004745114,0.0002134660827002962
"['2000-03-19', '2000-03-26']",0.026157955968776646,0.03506193499066752,0.036109787003441036,0.06553747979981155,0.03440112916628992,0.050871438101072565,0.05620365992855411,0.05792927032059584,0.05210715471934071,0.05101003579334439
"['2000-03-26', '2000-04-02']",0.012182317294841868,0.030387163126913887,0.0360572978651085,0.034939680844170685,0.04487177041367436,0.023355924264485392,0.038093065827174706,0.044027453347116025,0.05014589239668494,0.06094603262180271
"['2000-04-02', '2000-04-09']",-0.011744974243954745,0.0002393186863755909,0.012860706778432594,0.011651185605370895,0.017088015987262062,0.024454651255206173,0.004862234605075443,0.011986637027395004,0.02154247410737284,0.00981385555049653
"['2000-04-09', '2000-04-16']",-0.00693682753670812,0.04657911916406002,0.012050920867640542,-0.013004432004851787,-0.0035316069389448312,0.02351847809278982,0.008556035018691987,0.006658405239853098,0.003280994838559577,0.005975199621984017
"['2000-04-16', '2000-04-23']",-0.019008161895947232,-0.018205992175824037,0.0136138461420973,-0.005411232816494625,-0.008993723934122682,-0.005184113648818677,-0.00015089986511334405,0.0063058804265574715,0.01823050687464356,0.018294537122931456
"['2000-04-23', '2000-04-30']",0.011453640839385182,0.00025513815718002856,-0.005454887050074784,-0.010027263914230405,-0.0061411074494025,0.015516184240724998,0.003100781637515327,-0.006674403658203098,-0.008126557726947722,-0.0006197623889161254
"['2000-04-30', '2000-05-07']",-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765
"['2000-05-07', '2000-05-14']",-0.07134450029936296,-0.06955068862756125,-0.06798562163731343,-0.0673489611522942,-0.07969364125190778,-0.07203082505184931,-0.06542895521855965,-0.06892749857570925,-0.06037899135001088,-0.05916448234685972
"['2000-05-14', '2000-05-21']",0.033422072016422555,0.035185964729399194,0.031231373339488853,0.03545867055503394,0.030800988741925685,0.04086232748234875,0.033752473078794205,0.039355257971499295,0.037491174268181944,0.021830321992111497
"['2000-05-21', '2000-05-28']",0.028836409149650955,0.06704730502851916,0.06260672845292137,0.05218249284333566,0.05413627844909457,0.05551882954243536,0.0531499834276167,0.07690784352278389,0.045943129258956,0.056067057660819236
"['2000-05-28', '2000-06-04']",0.012416305410810279,0.017035723506944763,0.030873548911302715,0.004728890126301636,0.01664218277295367,0.016375251096460302,0.02840501095443358,0.026849539369876115,0.02344073204450695,0.01003034349002942
"['2000-06-04', '2000-06-11']",-0.0178761102977097,-0.02048503118365092,-0.01823657845246961,-0.01808867863308621,0.0042696860050859715,-0.007374544742378459,9.187492296341461e-05,-0.016757258949154218,-0.010251660415777885,0.012278609372084342
"['2000-06-11', '2000-06-18']",0.0033254697655790565,-0.0006264875837143227,0.011927543431613796,0.0019703612627588363,0.01922723527545321,0.007327215539667962,0.016783387491952146,0.020045354101726635,0.019104116375414187,0.0010914242045984698
"['2000-06-18', '2000-06-25']",0.010122422451757413,0.021878472670132355,0.026497003744828156,0.0048900842495635515,0.013161258097122961,0.00876115309272156,0.01129528801409851,0.004498969974711824,0.00695555068316637,0.009168521456588946
"['2000-06-25', '2000-07-02']",-0.005960891913182949,0.0063952004885935556,0.0036456537826950793,0.012986569915556861,-0.013464390570593716,0.004698184280090705,-0.0031454515700025513,-0.014408828146650163,0.007786681012241874,-0.011455325591635056
