window_period,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
"['2000-01-02', '2000-01-09']",0,0,0,0,0,0,0,0,0,0
"['2000-01-09', '2000-01-16']",0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
"['2000-01-16', '2000-01-23']",0.0002986387364717183,0.0005041533162882653,0.0008907750515593874,0.0008194402158759956,0.0007058381720878094,0.0006787391665591049,0.0006070562851796207,0.0008140030726912714,0.0007044020245190996,0.0003076035327750498
"['2000-01-23', '2000-01-30']",0.00039371857830397024,0.0009157040649450692,0.0009597328581026432,0.0008125142355768229,0.000955194025900287,0.0009723750825584757,0.0009740435641176396,0.0007781941195662224,0.0007096975204904843,0.00035971321746827413
"['2000-01-30', '2000-02-06']",0.000381944984237379,0.0010035584535446687,0.000954531929279292,0.001035133392860585,0.0011779155450462636,0.0009648374604939334,0.0010441597746804552,0.0009698832871446615,0.0009150860587724455,0.00033118582478000423
"['2000-02-06', '2000-02-13']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2000-02-13', '2000-02-20']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2000-02-20', '2000-02-27']",0.0004174613089885319,0.0007555233080022282,0.0007315179059790823,0.0009279057131648216,0.0012206546527602428,0.0010195041627162932,0.0011486483955799578,0.0008442472572557549,0.0008811534972327494,0.0004730047294013942
"['2000-02-27', '2000-03-05']",0.000295371868093654,0.0007922513443397263,0.0010468822291565918,0.0009840819471537423,0.0009516532930155302,0.0011699751647756798,0.001227601264904863,0.0009173298511720616,0.000642102378374206,0.0003257639084948207
"['2000-03-05', '2000-03-12']",0.0003553819234297759,0.0009771186442029034,0.0009753385614047893,0.0009307219445731339,0.00111871290366027,0.0012071281350859214,0.0010219065654981751,0.0010761183254180578,0.0008874986919178918,0.0004538105642747768
"['2000-03-12', '2000-03-19']",0.0003279642074989164,0.0007445186188355553,0.0009129923689870377,0.0012349879978826622,0.0011095777336242914,0.0007306575978307361,0.0010852410295119602,0.0009757270883008993,0.0008532875083858268,0.00037131273953820704
"['2000-03-19', '2000-03-26']",0.00046298363647164875,0.0008866305836992244,0.0009923266917194805,0.0011900488868964282,0.0013197483449087079,0.0012265027930795287,0.00124311857192386,0.001233278957856389,0.0007670697962056483,0.0005250131729368491
"['2000-03-26', '2000-04-02']",0.00037495956540471427,0.0006424950961350215,0.0009585337063972242,0.0010691162488607891,0.0010830607902851783,0.0010663904718473723,0.000992581417635505,0.000993366954980344,0.0008922396261452376,0.0004272709332317634
"['2000-04-02', '2000-04-09']",0.00032725792920316045,0.0004944604660874601,0.0007250661530577382,0.0007851063288789684,0.0008719601413590758,0.0009719514176474646,0.0009780560461337194,0.0008629120831649933,0.0005770061420570037,0.00032123837813811864
"['2000-04-09', '2000-04-16']",0.000265482571032862,0.0007082063850410732,0.0007541895370092271,0.0008961009754036751,0.0011248248246068708,0.0012542874494366383,0.0011292094188111888,0.00093712367233433,0.0007871329011424156,0.0003923135007200821
"['2000-04-16', '2000-04-23']",0.0003854320026256821,0.0008635245168565216,0.0011422146325955956,0.0011993838214606593,0.0013607236471060546,0.001207718277606201,0.0010675559612265558,0.0010940356296156582,0.0010175329473620285,0.0004382838755857777
"['2000-04-23', '2000-04-30']",0.0002974267288053268,0.0008987457581350514,0.001007016728338233,0.0009499983691333451,0.0009717010245423416,0.0010135305019021686,0.0011984527103085143,0.0010116069656259934,0.000892877076024574,0.00030381010902001936
"['2000-04-30', '2000-05-07']",0.00029473710359344827,0.0008094719274934955,0.0008265883655575834,0.0009799042750123505,0.0012027487185537406,0.0010169435344514813,0.0010818351680081972,0.0009426173779012593,0.0006813366344226301,0.0004458921893361167
"['2000-05-07', '2000-05-14']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2000-05-14', '2000-05-21']",0.00044139708226900736,0.0008465743985701135,0.0010605580652851808,0.0010967751937743188,0.0014196931766834787,0.0011763616621111698,0.0011675364038801934,0.0012596871775985006,0.0008324519703658027,0.0005096953384863089
