window_period,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
"['2000-01-02', '2000-01-09']",0,0,0,0,0,0,0,0,0,0
"['2000-01-09', '2000-01-16']",1,1,1,1,1,1,1,1,1,1
"['2000-01-16', '2000-01-23']",0.37329842058964724,0.6301916453603313,1.113468814449234,1.024300269844995,0.8822977151097621,0.8484239581988808,0.7588203564745257,1.017503840864089,0.8805025306488742,0.38450441596881263
"['2000-01-23', '2000-01-30']",0.4921482228799635,1.144630081181337,1.199666072628304,1.0156427944710287,1.193992532375359,1.2154688531980948,1.2175544551470496,0.9727426494577778,0.8871219006131057,0.44964152183534245
"['2000-01-30', '2000-02-06']",0.47743123029672374,1.254448066930836,1.193164911599115,1.2939167410757315,1.472394431307829,1.2060468256174166,1.3051997183505692,1.2123541089308274,1.1438575734655565,0.4139822809750052
"['2000-02-06', '2000-02-13']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2000-02-13', '2000-02-20']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2000-02-20', '2000-02-27']",0.5218266362356649,0.944404135002785,0.914397382473853,1.1598821414560267,1.5258183159503043,1.2743802033953666,1.4358104944749472,1.0553090715696936,1.101441871540937,0.5912559117517431
"['2000-02-27', '2000-03-05']",0.36921483511706743,0.9903141804246581,1.3086027864457397,1.2301024339421776,1.1895666162694125,1.4624689559695998,1.534501581131079,1.1466623139650767,0.8026279729677577,0.40720488561852597
"['2000-03-05', '2000-03-12']",0.44422740428721974,1.2213983052536295,1.2191732017559862,1.1634024307164177,1.398391129575338,1.5089101688574025,1.277383206872719,1.3451479067725725,1.109373364897365,0.567263205343471
"['2000-03-12', '2000-03-19']",0.4099552593736458,0.930648273544444,1.1412404612337974,1.543734997353328,1.3869721670303639,0.91332199728842,1.3565512868899507,1.2196588603761245,1.0666093854822831,0.46414092442275884
"['2000-03-19', '2000-03-26']",0.5787295455895611,1.1082882296240306,1.2404083646493507,1.4875611086205354,1.6496854311358853,1.533128491349411,1.5538982149048248,1.5415986973204863,0.9588372452570607,0.6562664661710613
"['2000-03-26', '2000-04-02']",0.4686994567558928,0.8031188701687768,1.19816713299653,1.3363953110759865,1.353825987856473,1.3329880898092155,1.240726772044381,1.2417086937254305,1.1152995326815471,0.534088666539704
"['2000-04-02', '2000-04-09']",0.40907241150395063,0.6180755826093252,0.9063326913221728,0.9813829110987105,1.0899501766988444,1.2149392720593306,1.2225700576671494,1.0786401039562414,0.7212576775712545,0.4015479726726487
"['2000-04-09', '2000-04-16']",0.3318532137910774,0.8852579813013419,0.942736921261534,1.120126219254594,1.4060310307585882,1.567859311795798,1.4115117735139857,1.1714045904179125,0.9839161264280198,0.4903918759001028
