window_period,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
"['2000-01-02', '2000-01-09']",,,,,,,,,,
"['2000-01-09', '2000-01-16']",-0.08646818920697132,-0.0920220773738419,-0.06297843316194111,-0.07894430931558373,-0.0678794063822677,-0.07937232513502716,-0.0724574678522521,-0.05515010965736072,-0.04599225774055214,-0.03697894504745067
"['2000-01-16', '2000-01-23']",0.01715203706175317,0.022350664419497325,0.05315524940497965,0.03999808372745106,0.042467672533788116,0.03726887644408752,0.07621895438180282,0.04996451092634022,0.0853977675112658,0.07690045818650627
"['2000-01-23', '2000-01-30']",0.022555662696884922,0.042855284777544224,0.029461721148809416,0.032037956698928984,0.034299590997970295,0.08544931371225598,0.06748360552303326,0.06972592846271884,0.09114131491300186,0.0809332713576734
"['2000-01-30', '2000-02-06']",-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765
"['2000-02-06', '2000-02-13']",-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765
"['2000-02-13', '2000-02-20']",0.05386720974592355,0.06419649334658445,0.0649843141540307,0.07889400667957779,0.07880474067741813,0.11576766907562869,0.08554082982549864,0.12754645487304928,0.11547293645456125,0.1847602686068852
"['2000-02-20', '2000-02-27']",-0.003945668768915811,-0.003933125743774396,-0.02699346248173814,-0.020465215707824502,-0.03064492936260641,-0.02947506683614166,-0.05587504236966507,-0.032299676857276596,-0.033776231559490506,-0.026620022474233302
"['2000-02-27', '2000-03-05']",0.07471768549765913,0.04568809475205755,0.045761135569869785,0.07270965961372566,0.06217656964068998,0.06179449837702877,0.06484597329646576,0.08640341923689501,0.04999457935993858,0.04293925018306209
"['2000-03-05', '2000-03-12']",-0.005853152202790862,-0.020010887706861356,-0.03424652949465773,-0.018448683347861393,-0.026604682075851715,-0.03914716548072546,0.0012845710461019226,-0.005317705549090394,-0.02376514865216805,-0.026243476641044778
