window_period,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
"['2000-01-02', '2000-01-09']",0,0,0,0,0,0,0,0,0,0
"['2000-01-09', '2000-01-16']",0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
"['2000-01-16', '2000-01-23']",0.0002920166181394312,0.0006097339279945855,0.0008052436324736447,0.0008307044975323831,0.0008118671352802058,0.0007516663621732713,0.0009617316918218943,0.0006544866443958877,0.00047593240252492575,0.0001853369029706912
"['2000-01-23', '2000-01-30']",0.00030449331594086676,0.0006530670010866108,0.0008854378871781879,0.0009306246491726684,0.0009067757300735372,0.0011478573646059112,0.0009312874926465696,0.0007610799487200085,0.000575492821177145,0.00024083932996553554
"['2000-01-30', '2000-02-06']",0.00019648256293033274,0.0005027679273080497,0.0006504897842180471,0.0006147334858436685,0.0005277594733540072,0.0009573650289273398,0.0009375732267470439,0.0007547375849790748,0.000567891884106965,0.0003222641395571244
"['2000-02-06', '2000-02-13']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2000-02-13', '2000-02-20']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2000-02-20', '2000-02-27']",0.0003257453332982765,0.0006602821422100214,0.000683258804141729,0.0009528488946756962,0.0008022638115321655,0.0010981844038888966,0.001011825370146575,0.0009948110636009875,0.0007945317183024976,0.0003509545930176181
"['2000-02-27', '2000-03-05']",0.00034332343991078134,0.000628131203605264,0.0007560369359827597,0.0009532665520481599,0.0008294311864413797,0.0008254386121024541,0.0010409005387186404,0.0007765048444556097,0.0006349679528280733,0.0003553841579828921
"['2000-03-05', '2000-03-12']",0.00022494331967155061,0.0006761974212072565,0.0008281469807598646,0.0008071573315668805,0.0008747101042739373,0.0009713871283606104,0.001004757083390786,0.0007981152776641886,0.000631751834356037,0.0003041752465914531
"['2000-03-12', '2000-03-19']",0.00032893119119938464,0.0006214135634327014,0.0007844595933020497,0.0009880856932468042,0.0008321667233310463,0.0008905643072359163,0.0009217875488821212,0.00097876700304905,0.0007620559810977298,0.00038446290724356165
"['2000-03-19', '2000-03-26']",0.00031274268439993047,0.0007873702083080586,0.001011437771359936,0.001066483744391485,0.0010956285239057048,0.0010289241448247677,0.0010145645428350396,0.0008471555464676883,0.0008943983639477331,0.0003533573785655578
"['2000-03-26', '2000-04-02']",0.00029881969439421116,0.0006217539314454531,0.0009171662495181033,0.0007144901770889464,0.0009540012972368489,0.0012145193691742919,0.0008464874169895303,0.0007451003976919161,0.0007723447728549045,0.0004391135590530087
"['2000-04-02', '2000-04-09']",0.0004581492377197491,0.0006579632399174119,0.0007204194407952897,0.000715253022912539,0.0008099707111578523,0.0008715950724366223,0.0008160578690694612,0.0006991951730341898,0.000651915954123899,0.00044442223075000817
"['2000-04-09', '2000-04-16']",0.000473759015317672,0.0007987358102241933,0.0007926495801030372,0.0006968375669649306,0.0007012411090501244,0.0007336614623927548,0.0007001066121184378,0.0008125340877197745,0.0004673004021339126,0.00039171331940662205
"['2000-04-16', '2000-04-23']",0.00048302746105413077,0.0008621265375577292,0.0008773283259811426,0.0009193882802973394,0.0008315315031174743,0.0008484718797822921,0.0006771575893170323,0.0007292224699229652,0.0006844954740113124,0.0004184734242910739
"['2000-04-23', '2000-04-30']",0.00046432124725366976,0.0008860760880806795,0.0009871295489104915,0.0009623722107207991,0.0006927969081691665,0.0009946775730271266,0.0007649275521507701,0.0007639493081174249,0.0006282589409038768,0.00026210248961710625
"['2000-04-30', '2000-05-07']",0.00043325576045179844,0.0007522123318047889,0.0008203236897251099,0.0007912998066328703,0.0005746547284603544,0.0006806258067811284,0.0006477915993062371,0.0006686959797263434,0.0007277555027031087,0.00034723856280801887
"['2000-05-07', '2000-05-14']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2000-05-14', '2000-05-21']",0.0004230542405078529,0.0008502132545124293,0.0007752553658721651,0.0010224696522294712,0.0006649321739104339,0.00077405365079453,0.0007180674830592561,0.0006209472847717435,0.0005542837603608048,0.00037999742070606707
