window_period,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
"['2000-01-02', '2000-01-09']",,,,,,,,,,
"['2000-01-09', '2000-01-16']",-0.076492560219138,-0.06204643950233043,-0.06983749433469014,-0.06687983569169034,-0.066757095899783,-0.07738701575186448,-0.07009163672972317,-0.06701191479966712,-0.07156734326731443,-0.05217992822449641
"['2000-01-16', '2000-01-23']",0.023939834148477692,0.015397841984572017,0.03210561675961734,0.0404625184325052,0.033030318082082594,0.04713036626056402,0.05077549770878085,0.07049258517728824,0.0676581774199137,0.12528470972785954
"['2000-01-23', '2000-01-30']",0.018698206238997674,0.017309365290815854,0.036588864111547756,0.043918771292295704,0.04175110812594943,0.05025561340046558,0.06578157352878396,0.09216031921742776,0.06262960181002261,0.12916551532519144
"['2000-01-30', '2000-02-06']",-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765
"['2000-02-06', '2000-02-13']",-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765
"['2000-02-13', '2000-02-20']",0.04429546496476202,0.09309106589300728,0.04921349892253641,0.07699511225667245,0.0572355645808627,0.0876366784479529,0.11803922915104877,0.16170332765796247,0.10116813713135732,0.18562895716219002
"['2000-02-20', '2000-02-27']",0.001247043355552749,0.000348011609983069,0.008512844927700448,-0.002620723189408315,-0.024909452740382063,-0.02779196743776125,-0.02456317516782098,-0.05152999062050831,-0.0622809172808167,-0.07391321232981032
"['2000-02-27', '2000-03-05']",0.05653042971059133,0.05476984343749245,0.06206210392776487,0.05866837664676445,0.07272029749628263,0.05396551388343848,0.0731477035765643,0.057891923942609266,0.028998225722480103,0.07093633199436356
"['2000-03-05', '2000-03-12']",-0.01302491121400819,0.006933502542481946,-0.01976270303537559,-0.024047656372206946,-0.026766805891313878,-0.0245443448609305,-0.02664900041546889,-0.019791545031079515,-0.006649518733537907,-0.05325533141208423
"['2000-03-12', '2000-03-19']",-0.020249804115994675,-0.022868050539747404,-0.025099944468283498,-0.0073739434548670026,-0.019388956024236757,0.0004264334530459309,-0.05191958001021933,-0.022843362547193505,-0.04601994950085681,-0.04003119230384435
"['2000-03-19', '2000-03-26']",0.04841338345411435,0.0386721005731612,0.02631155056514199,0.05212231131077312,0.045227556435587984,0.042050770021206295,0.05103225992656673,0.04190383906595543,0.05172206199075113,0.05167944659439804
"['2000-03-26', '2000-04-02']",0.03319342758919642,0.020838963188402337,0.03458671289956098,0.04924696063590299,0.03498394911591413,0.03980512297431535,0.058008846386266785,0.04776204810814328,0.012737115071225217,0.023995104403579333
"['2000-04-02', '2000-04-09']",0.006170608118675601,0.014066427353336321,0.008228717035070263,0.011695838046275367,0.006896970877414851,0.017996724547242802,0.013004480000821576,0.017538453883677346,-0.018142581529041517,0.013021364722979137
"['2000-04-09', '2000-04-16']",-0.003043322616378341,-0.0025940101522976006,0.005752534411096579,0.013934831023249987,0.016108014826436586,0.01116855626206919,0.02708297087351767,0.01488868167153726,-0.010628556502723062,0.002478339365259927
"['2000-04-16', '2000-04-23']",-0.007713219186893991,-0.005087020118650066,0.02359394062448021,-0.0049943634774869535,-0.006718972892897039,-0.0031311009957123203,-0.003331943050389865,-0.003895584077784821,0.01051963766143233,-0.009711958208777363
"['2000-04-23', '2000-04-30']",0.010357428883627468,0.004676509232895945,0.005219331018801505,0.008501861303952347,0.004372030260814391,-0.009692274986165117,-0.005740720378724071,-0.012298172855713312,-0.004386098437028305,-0.004326738557924262
"['2000-04-30', '2000-05-07']",-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765
"['2000-05-07', '2000-05-14']",-0.0714949570067987,-0.06976554146461365,-0.06752272605356842,-0.07085941955282057,-0.07194845714201291,-0.058088384304027324,-0.06437250483756195,-0.0719269483866364,-0.06480141883170511,-0.0680009719744141
"['2000-05-14', '2000-05-21']",0.03463170074308684,0.04464491496779661,0.03141105932310943,0.02796097102311483,0.021135096509877858,0.02509627574353593,0.0366843562365106,0.02693925643937945,0.04520942113163651,0.047777207343384455
"['2000-05-21', '2000-05-28']",0.05957745276511031,0.06144242634050498,0.06812792720850716,0.04467743196302472,0.0612337081452391,0.0601887434990051,0.04968886472229831,0.05130028453329155,0.052033010133510506,0.036032401403169975
"['2000-05-28', '2000-06-04']",0.012576842895705266,0.0150542938250023,0.011805037941094228,0.02933291377389681,0.019017787445352614,0.029822994140480247,0.02164198351672094,0.0047931948366343,0.010187551120642891,0.030698525148897142
"['2000-06-04', '2000-06-11']",0.00018754878650347948,0.007200668640996872,0.008228344027129917,0.0012028720000687972,-0.014956664697780425,-0.020065676071910114,-0.01469047095338183,-0.012310186321256847,-0.04066864271893455,-0.021765025060214348
"['2000-06-11', '2000-06-18']",-0.010879667680467824,-0.003270172471333638,0.012260841228545058,0.009033837530325424,0.0053106026415817445,0.009264064819300174,0.014874327361300765,0.008980750839332993,0.04079675883827794,0.0150443323095676
"['2000-06-18', '2000-06-25']",0.014553738535399171,0.01916940110298841,0.020114617442864705,0.003852651472734144,0.010141930231692225,0.0011741562466928224,0.011236288726984432,0.016830647173440974,0.013475382288169864,0.009145136446265583
"['2000-06-25', '2000-07-02']",-0.018812528434125213,-0.007094155126284128,-0.0096211037046656,-0.008407725036122688,0.006181048066541404,0.0070859298446081095,0.0059376436444701555,0.006949385684601404,0.0006749940892140403,0.007168827354107972
"['2000-07-02', '2000-07-09']",-0.0025169511678246447,-0.011159046521403251,-0.00553313140210522,-0.008947190191158793,-0.00018851950607761563,0.0066414191557699455,0.006847382159462437,0.001480592738701522,0.014475508246729333,0.02375805892499294
"['2000-07-09', '2000-07-16']",0.01914601987118199,0.016087595345504326,0.023693455661127016,0.019262277625715387,0.03393276458177611,0.035011599060976395,0.026128254492175006,0.026889691124524603,0.019781216622762658,0.025017904848420633
"['2000-07-16', '2000-07-23']",0.01039366516602619,-0.004143501426332881,0.0002916239325287904,0.0015906058446572648,-0.0029345105989653855,0.002337444555067822,0.0017233119116598578,-0.0057557326007815855,0.010310022295663374,0.0019696941340409104
"['2000-07-23', '2000-07-30']",0.0027224560556119845,0.0036345248537222215,0.008362692578035518,0.015304336115368581,0.010715145213549155,0.01923589559327475,0.01117462211565486,0.01030704823033844,-0.010383699790456708,-0.0074244465087055555
"['2000-07-30', '2000-08-06']",0.01175096600827704,0.0008861749587235249,0.01088557442080577,0.0044707578174111315,-0.0022192015516167007,-0.002816852701475582,0.00601753970838746,0.013830949047308338,0.0045350390224520795,0.002963119238570539
