window_period,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
"['2000-01-02', '2000-01-09']",0,0,0,0,0,0,0,0,0,0
"['2000-01-09', '2000-01-16']",0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
"['2000-01-16', '2000-01-23']",0.000757524802910141,0.0010200845448858568,0.0013315497059617203,0.0014347518658172974,0.0014183565021335105,0.0013765710737011847,0.0012714797210202258,0.0013510652916180947,0.0012739091968058417,0.0007215778986312897
"['2000-01-23', '2000-01-30']",0.0009477448583839744,0.001039155909919856,0.001221177469147066,0.0012556020451195342,0.001272778252637572,0.0012597724760120663,0.0012911083020031827,0.0013183040956537197,0.001077925923796604,0.00045869180412605356
"['2000-01-30', '2000-02-06']",0.0007387620307495156,0.001198346168206685,0.0011661832848838239,0.001113709640297063,0.0010897498458659126,0.0013302436803112015,0.001416615858937528,0.0012837091205981552,0.0010784555262435167,0.00047480475781101604
"['2000-02-06', '2000-02-13']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2000-02-13', '2000-02-20']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2000-02-20', '2000-02-27']",0.0009743421270909168,0.001262707858651753,0.0013781841885919463,0.0013388766985232847,0.001069620320036518,0.0013148775303329933,0.001401950462529065,0.001088803767930671,0.0012586584344415049,0.0008223096544695591
"['2000-02-27', '2000-03-05']",0.0010234400644264711,0.0009780414106322116,0.0010632910689467583,0.0012838237846354076,0.0013264708693574876,0.001121811522360646,0.0012133297191842059,0.001065214271667372,0.0010620963150656977,0.0005690676042565798
"['2000-03-05', '2000-03-12']",0.0008211664131204056,0.0007379571932824386,0.001148970341080677,0.0012364564593420036,0.0013571565139870016,0.0012874608898793662,0.0013870755398257728,0.001258386649468971,0.0011611224644665016,0.0004053528522033304
"['2000-03-12', '2000-03-19']",0.001011050284919697,0.0013482607425638888,0.0014381843166755728,0.0013391011290218584,0.0013437807465298637,0.0013379461792580622,0.0013769080506502544,0.0012723586854705181,0.0012176888749618198,0.0007671949023384337
"['2000-03-19', '2000-03-26']",0.0013006861144493188,0.0013314985645487393,0.0014084017456945921,0.0015788602007117474,0.0014846856843212268,0.0014703207258534414,0.0014759437078830132,0.0013364320640388112,0.0013469187955365972,0.0009285678864326955
"['2000-03-26', '2000-04-02']",0.0010856000594947183,0.0011993180093047859,0.0013020459977943972,0.0014123589484598608,0.0013244040155927308,0.001156911487303927,0.0010342796795118916,0.0013238818989518707,0.0012186523993064525,0.0010369448621536568
"['2000-04-02', '2000-04-09']",0.0009024114439892595,0.0011232127538951067,0.0012629922072789875,0.0012641694197012665,0.001259898220379207,0.0012957194449143682,0.001253601843968615,0.001318109739316346,0.0011227112677887133,0.0006830639929858474
"['2000-04-09', '2000-04-16']",0.0010150292366973746,0.0011347679068860325,0.0011847905048277471,0.0013325004967065397,0.0013406199063397655,0.0013942871555651065,0.0014336570629747297,0.0012603907568990045,0.0012119686622080342,0.0006342081805928645
"['2000-04-16', '2000-04-23']",0.0009138227812548333,0.0011140361646343436,0.0013645311897057461,0.0014084038752673817,0.0013543808411680602,0.001317774643022262,0.0013625054530751082,0.0013097567922396363,0.0009810778437917657,0.0007248551994875709
"['2000-04-23', '2000-04-30']",0.0007178661108811863,0.0011930332435002911,0.001348447282301659,0.0010784470939688446,0.001388793981854092,0.0013002104545020352,0.0013020883077576482,0.001370841112229277,0.0011175129621439103,0.0007826497646437309
"['2000-04-30', '2000-05-07']",0.0009826289459743732,0.0010629959875863943,0.0012611073609429691,0.0014365181324309604,0.0014084458991583987,0.0012609379306207913,0.00135114084481921,0.001224954414127631,0.001113935321542987,0.0006503115580299506
"['2000-05-07', '2000-05-14']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2000-05-14', '2000-05-21']",0.000897590024518583,0.0011366384321286722,0.001214896665011315,0.0011539397753212376,0.0013334619495592385,0.0013917776038795424,0.0013314286843980107,0.0013987875512146912,0.001138176853058613,0.0006360439534089384
"['2000-05-21', '2000-05-28']",0.001084779043823462,0.0012640597172112124,0.0013584826063729578,0.0013699326793843477,0.0013300327499984588,0.0013112564457212687,0.0013765362831894131,0.001225424097525951,0.0008995768384323809,0.0006642998338763746
