window_period,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
"['2000-01-02', '2000-01-09']",0,0,0,0,0,0,0,0,0,0
"['2000-01-09', '2000-01-16']",1,1,1,1,1,1,1,1,1,1
"['2000-01-16', '2000-01-23']",0.946906003637676,1.2751056811073214,1.6644371324521503,1.7934398322716218,1.7729456276668887,1.720713842126481,1.5893496512752825,1.688831614522619,1.5923864960073022,0.9019723732891117
"['2000-01-23', '2000-01-30']",1.1846810729799684,1.29894488739982,1.5264718364338328,1.569502556399418,1.5909728157969645,1.5747155950150828,1.6138853775039785,1.6478801195671502,1.3474074047457552,0.5733647551575674
"['2000-01-30', '2000-02-06']",0.9234525384368946,1.4979327102583562,1.4577291061047797,1.3921370503713286,1.3621873073323911,1.6628046003890025,1.7707698236719098,1.6046364007476936,1.3480694078043958,0.5935059472637702
"['2000-02-06', '2000-02-13']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2000-02-13', '2000-02-20']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2000-02-20', '2000-02-27']",1.2179276588636458,1.5783848233146918,1.7227302357399328,1.673595873154106,1.3370254000456478,1.6435969129162418,1.7524380781613316,1.3610047099133387,1.573323043051881,1.0278870680869487
"['2000-02-27', '2000-03-05']",1.2793000805330892,1.2225517632902645,1.3291138361834482,1.6047797307942595,1.6580885866968598,1.4022644029508073,1.5166621489802572,1.3315178395842153,1.3276203938321225,0.7113345053207252
"['2000-03-05', '2000-03-12']",1.026458016400507,0.9224464916030484,1.4362129263508456,1.5455705741775043,1.6964456424837522,1.6093261123492077,1.7338444247822162,1.572983311836214,1.4514030805831268,0.5066910652541627
"['2000-03-12', '2000-03-19']",1.2638128561496216,1.6853259282048614,1.7977303958444661,1.6738764112773237,1.6797259331623295,1.6724327240725776,1.721135063312818,1.590448356838148,1.522111093702275,0.958993627923042
"['2000-03-19', '2000-03-26']",1.6258576430616483,1.664373205685924,1.7605021821182403,1.9735752508896844,1.8558571054015338,1.837900907316802,1.844929634853766,1.670540080048514,1.6836484944207468,1.1607098580408697
"['2000-03-26', '2000-04-02']",1.3570000743683983,1.4991475116309823,1.6275574972429965,1.7654486855748255,1.6555050194909136,1.4461393591299092,1.2928495993898648,1.6548523736898386,1.5233154991330657,1.2961810776920708
"['2000-04-02', '2000-04-09']",1.1280143049865743,1.4040159423688834,1.5787402590987343,1.5802117746265834,1.574872775474009,1.6196493061429602,1.567002304960769,1.6476371741454328,1.4033890847358919,0.8538299912323093
"['2000-04-09', '2000-04-16']",1.2687865458717185,1.4184598836075406,1.480988131034684,1.6656256208831741,1.6757748829247072,1.7428589444563838,1.792071328718412,1.5754884461237553,1.5149608277600426,0.7927602257410806
