window_period,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
"['2000-01-02', '2000-01-09']",0,0,0,0,0,0,0,0,0,0
"['2000-01-09', '2000-01-16']",0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
"['2000-01-16', '2000-01-23']",0.0004300922161675598,0.0004120645997808008,0.00054241926334422,0.0005789973749936672,0.0005125365959560061,0.00048720620804029117,0.0005530335811047774,0.0003584954304575643,0.0002377947551868184,0.00011683083349701428
"['2000-01-23', '2000-01-30']",0.00045663771800902515,0.0004635226581182298,0.0005325930735371709,0.0005025803512777892,0.0005389489243282867,0.000597528340444049,0.0005679576808996202,0.00048006258528440353,0.0003731813060667482,0.0001403301575367277
"['2000-01-30', '2000-02-06']",0.0005644660390739546,0.000695283994907409,0.0005615786913815638,0.0005483609487289438,0.0006662851687944427,0.0006218501792822139,0.000514043728495365,0.00040968738567328985,0.00031168525605533397,0.00010694366394487228
"['2000-02-06', '2000-02-13']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2000-02-13', '2000-02-20']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2000-02-20', '2000-02-27']",0.0009161950819029356,0.0009624426075058673,0.0009382533043502908,0.0008402375903232987,0.0007617252929365719,0.0009486128488039001,0.0008437719823062263,0.000612967330043415,0.0004557716730093467,0.0002042591252657812
"['2000-02-27', '2000-03-05']",0.0008433736037980244,0.0008608632006523383,0.0007087104105270414,0.0006538513756216387,0.0007467760026634363,0.0006624536948735577,0.0006628844133890499,0.0005881627072317769,0.00037134142470635355,0.00011192221192120651
"['2000-03-05', '2000-03-12']",0.0006069394512004992,0.0006826751074183784,0.0005586271158841083,0.0006352683832325176,0.0007643341093500863,0.0005831176405284617,0.0005042860369651585,0.00031024499964460347,0.00024767644297050317,0.00010762610676711098
"['2000-03-12', '2000-03-19']",0.0005841195834774796,0.0005330461615069501,0.000586991854694363,0.0006355569326191123,0.000502154357044918,0.000352593059191945,0.0003085248093412886,0.00027781540143601024,0.0002179782196588307,0.00011087741010897833
"['2000-03-19', '2000-03-26']",0.000714418592453379,0.0007026702432032562,0.000671112294001941,0.0005948348493962733,0.0006584113873725624,0.0005582435446359977,0.000578932175689905,0.00033537182906170107,0.00017721195400423166,0.00010908385023194393
"['2000-03-26', '2000-04-02']",0.0005024501564084002,0.0005639362397997845,0.0007234967612237986,0.0006883456171627333,0.0006229606709041239,0.0004647472667982668,0.000468502134181337,0.0003276641632235918,0.00017766168812248493,7.912551358367679e-05
"['2000-04-02', '2000-04-09']",0.0005797620102457008,0.000533947809597593,0.0004976019251124574,0.0006646461277167393,0.0007551505727659408,0.0005034039201121835,0.00044200267430448577,0.00034939462125254864,0.00023720869987379093,8.348887563725454e-05
"['2000-04-09', '2000-04-16']",0.0005537803609658317,0.0005777016776845486,0.0005303562849214745,0.0005913861222117214,0.000477809760471333,0.00044919904012186607,0.00042369335713065615,0.0002969578375417679,0.0001940077242691543,6.802410669387495e-05
"['2000-04-16', '2000-04-23']",0.00046476810840377105,0.0004047039700792257,0.000456218854280909,0.0006265323718047553,0.0005275718490988691,0.0004264252720429272,0.00029449695585162484,0.00020405935081958902,0.00020463592876755182,9.713066910368057e-05
"['2000-04-23', '2000-04-30']",0.00046466373082680693,0.000455506408563744,0.0005752831339380569,0.00070860748598113,0.0005988335296311501,0.0004555464170897625,0.0004274811865298113,0.0002943710233284296,0.00023512126941945254,8.737657395806392e-05
"['2000-04-30', '2000-05-07']",0.0004181253206677777,0.0004947844249985785,0.0005519841438967483,0.0006769648390614427,0.0005458436868946143,0.00043983275835671035,0.00047281104621181027,0.0002903981677302474,0.00021501878543044606,0.0001098315144213718
"['2000-05-07', '2000-05-14']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2000-05-14', '2000-05-21']",0.0006239252012017984,0.0005060775775379586,0.0007299053437562468,0.0006232556991096256,0.000549391489087546,0.0004938967316307705,0.0005491010818469825,0.00043864275552577,0.0002573942824489415,0.00012621179877793707
