window_period,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
"['2000-01-02', '2000-01-09']",0,0,0,0,0,0,0,0,0,0
"['2000-01-09', '2000-01-16']",1,1,1,1,1,1,1,1,1,1
"['2000-01-16', '2000-01-23']",0.5376152702094498,0.515080749726001,0.6780240791802749,0.7237467187420842,0.6406707449450078,0.6090077600503643,0.6912919763809722,0.44811928807195517,0.29724344398352287,0.1460385418712677
"['2000-01-23', '2000-01-30']",0.5707971475112812,0.5794033226477873,0.6657413419214635,0.6282254390972365,0.6736861554103584,0.7469104255550612,0.7099471011245251,0.6000782316055047,0.4664766325834355,0.1754126969209096
"['2000-01-30', '2000-02-06']",0.7055825488424432,0.8691049936342614,0.7019733642269548,0.6854511859111798,0.8328564609930535,0.7773127241027677,0.6425546606192062,0.5121092320916121,0.38960657006916727,0.1336795799310903
"['2000-02-06', '2000-02-13']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2000-02-13', '2000-02-20']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2000-02-20', '2000-02-27']",1.1452438523786697,1.203053259382334,1.1728166304378638,1.0502969879041233,0.9521566161707147,1.185766061004875,1.0547149778827827,0.7662091625542693,0.5697145912616832,0.2553239065822268
"['2000-02-27', '2000-03-05']",1.054217004747531,1.0760790008154228,0.8858880131588018,0.8173142195270484,0.9334700033292957,0.8280671185919468,0.8286055167363129,0.7352033840397207,0.464176780882942,0.139902764901508
"['2000-03-05', '2000-03-12']",0.7586743140006238,0.8533438842729733,0.6982838948551353,0.7940854790406473,0.9554176366876077,0.7288970506605776,0.6303575462064479,0.3878062495557544,0.30959555371312897,0.1345326334588886
"['2000-03-12', '2000-03-19']",0.7301494793468495,0.6663077018836876,0.733739818367954,0.7944461657738899,0.6276929463061478,0.44074132398993116,0.3856560116766111,0.347269251795013,0.2724727745735386,0.13859676263622303
"['2000-03-19', '2000-03-26']",0.8930232405667238,0.8783378040040704,0.8388903675024262,0.7435435617453421,0.8230142342157029,0.6978044307949973,0.7236652196123812,0.4192147863271264,0.22151494250528952,0.1363548127899298
"['2000-03-26', '2000-04-02']",0.6280626955105002,0.7049202997497308,0.9043709515297482,0.8604320214534165,0.7787008386301548,0.5809340834978333,0.5856276677266711,0.4095802040294897,0.2220771101531061,0.09890689197959632
"['2000-04-02', '2000-04-09']",0.7247025128071262,0.6674347619969911,0.6220024063905718,0.8308076596459237,0.9439382159574262,0.6292549001402297,0.5525033428806072,0.43674327656568546,0.2965108748422388,0.1043610945465682
