window_period,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
"['2000-01-02', '2000-01-09']",0,0,0,0,0,0,0,0,0,0
"['2000-01-09', '2000-01-16']",0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
"['2000-01-16', '2000-01-23']",0.00043503886400691094,0.0009156758354782958,0.0012453072763323107,0.0010225092008944222,0.0012005449591417103,0.0009106067128242309,0.0011562669390173322,0.0010806949821692388,0.0008243668185969761,0.0004599822752742181
"['2000-01-23', '2000-01-30']",0.0003386288543846291,0.0007571156933479521,0.0010397968854612882,0.0009168629032651715,0.0011435202753423428,0.0012912541636578673,0.0011925829227465122,0.0009920219002983518,0.0009018197442451235,0.00032940505266265983
"['2000-01-30', '2000-02-06']",0.00046579528724910457,0.0007862011781370725,0.001036234336220473,0.0010741205219583303,0.0010837794032899845,0.0010258890510521294,0.0009862628396202823,0.0007361728430010099,0.0007665735870095322,0.00036757130631033926
"['2000-02-06', '2000-02-13']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2000-02-13', '2000-02-20']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2000-02-20', '2000-02-27']",0.0004154867242500688,0.0009395109982439693,0.0010331937333844232,0.0010199738795239094,0.0011735669433938834,0.0011874682122484876,0.0012711230729688925,0.0011175044816656879,0.0009566855046296657,0.00047310839923786686
"['2000-02-27', '2000-03-05']",0.00040081037794829216,0.0009979807636440678,0.0008127967841635386,0.0009984144140262553,0.0009588902555127976,0.0009992255468426095,0.0011053458083266055,0.000818844102469515,0.00094327351207882,0.0005322463727943152
"['2000-03-05', '2000-03-12']",0.0004624098497181035,0.0009315111459933836,0.0009639449444936636,0.0013235504342469875,0.0010420789534206917,0.0008457999106625931,0.0010312833793331656,0.0011171401112252972,0.0009406150006227597,0.0006244261261930896
"['2000-03-12', '2000-03-19']",0.0004167034023753275,0.0009539965773901276,0.001159515047642475,0.0011893650148840792,0.0011176409270128517,0.001083066028652182,0.0013092175005777382,0.001012930496052464,0.001061705471970678,0.0004434471248755639
"['2000-03-19', '2000-03-26']",0.000499542551177721,0.0009560863566267128,0.001151910852335504,0.0012105348651330402,0.0010792530174580082,0.0013838139695074817,0.001170076665305168,0.0011940539326764454,0.0010379923047862689,0.0006382254539076776
"['2000-03-26', '2000-04-02']",0.0005982994045486121,0.0009166415586666483,0.0011347927322919332,0.0010651303048076501,0.0014083175279610823,0.0013196606081430813,0.0012451160537857624,0.001200850149827896,0.0011154357654977046,0.0005970087075062545
"['2000-04-02', '2000-04-09']",0.0006897608908931742,0.0010154101474576104,0.001276640950534231,0.0009805994750752213,0.0013386692636704492,0.0013876571413577404,0.0014798031441567955,0.001172054231424039,0.0011693853605309285,0.0004934147512312134
"['2000-04-09', '2000-04-16']",0.0004051684052562978,0.0009099774677978478,0.0010544374865529415,0.001102878516905764,0.001291896965250048,0.0012568377662790368,0.00126391938066424,0.001237264634876186,0.0011047834716558572,0.0006604576275978086
"['2000-04-16', '2000-04-23']",0.0006418645397771623,0.0008900649395827743,0.0011072451730744293,0.001150999060679069,0.0011042272074944129,0.0011800052985343158,0.0010810658672978227,0.0009177694309920328,0.0008718977306373094,0.0005109619788291402
"['2000-04-23', '2000-04-30']",0.0005699502568550967,0.0010443370693128404,0.0012289128214796675,0.0012962866329819457,0.0013129453634103385,0.0009993252175245207,0.001177429567787818,0.001047672007583114,0.0007717968733610194,0.0004421086570769932
"['2000-04-30', '2000-05-07']",0.0004831035975501409,0.0008003865768879838,0.0010784273754120353,0.001212147772405896,0.0009925484624669447,0.0009677250344483718,0.0011606403252853554,0.0007870355700104157,0.0007675148111053782,0.0006424415129582937
"['2000-05-07', '2000-05-14']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2000-05-14', '2000-05-21']",0.00043060954255981347,0.0007749286862519104,0.001124420028741617,0.0009212301428375457,0.001085561147248625,0.0010232230505087185,0.001216525867826204,0.0009408844640340589,0.0010714562681754046,0.0004911653646061703
