window_period,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
"['2000-01-02', '2000-01-09']",0,0,0,0,0,0,0,0,0,0
"['2000-01-09', '2000-01-16']",1,1,1,1,1,1,1,1,1,1
"['2000-01-16', '2000-01-23']",0.5437985800086389,1.1445947943478698,1.556634095415388,1.2781365011180277,1.500681198927138,1.1382583910302886,1.4453336737716653,1.3508687277115494,1.03045852324622,0.574977844092773
"['2000-01-23', '2000-01-30']",0.423286067980786,0.9463946166849402,1.2997461068266105,1.1460786290814644,1.4294003441779282,1.6140677045723342,1.4907286534331403,1.2400273753729392,1.1272746803064044,0.4117563158283247
"['2000-01-30', '2000-02-06']",0.5822441090613809,0.9827514726713407,1.2952929202755907,1.342650652447913,1.3547242541124809,1.2823613138151622,1.2328285495253528,0.9202160537512625,0.9582169837619156,0.45946413288792415
"['2000-02-06', '2000-02-13']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2000-02-13', '2000-02-20']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2000-02-20', '2000-02-27']",0.5193584053125859,1.1743887478049617,1.2914921667305292,1.2749673494048872,1.4669586792423541,1.4843352653106094,1.5889038412111156,1.3968806020821098,1.1958568807870822,0.5913854990473332
"['2000-02-27', '2000-03-05']",0.5010129724353651,1.247475954555085,1.0159959802044232,1.2480180175328188,1.198612819390997,1.249031933553262,1.3816822604082573,1.023555128086894,1.1790918900985252,0.6653079659928941
"['2000-03-05', '2000-03-12']",0.578012312147629,1.1643889324917294,1.20493118061708,1.6544380428087342,1.3025986917758647,1.0572498883282413,1.289104224166457,1.3964251390316216,1.1757687507784496,0.7805326577413623
"['2000-03-12', '2000-03-19']",0.5208792529691595,1.192495721737659,1.4493938095530936,1.486706268605099,1.3970511587660648,1.3538325358152277,1.6365218757221731,1.2661631200655803,1.3271318399633478,0.5543089060944548
"['2000-03-19', '2000-03-26']",0.6244281889721514,1.1951079457833915,1.43988856541938,1.5131685814163003,1.3490662718225104,1.7297674618843524,1.4625958316314598,1.4925674158455573,1.2974903809828362,0.797781817384597
"['2000-03-26', '2000-04-02']",0.7478742556857654,1.1458019483333104,1.4184909153649166,1.331412881009563,1.7603969099513526,1.6495757601788517,1.556395067232203,1.5010626872848696,1.394294706872131,0.746260884382818
"['2000-04-02', '2000-04-09']",0.8622011136164678,1.2692626843220132,1.5958011881677887,1.2257493438440261,1.6733365795880613,1.7345714266971757,1.8497539301959947,1.465067789280049,1.4617317006636608,0.6167684390390169
"['2000-04-09', '2000-04-16']",0.5064605065703722,1.1374718347473098,1.3180468581911768,1.3785981461322052,1.6148712065625601,1.5710472078487958,1.5798992258303,1.5465807935952327,1.3809793395698213,0.8255720344972606
