window_period,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
"['2000-01-02', '2000-01-09']",0,0,0,0,0,0,0,0,0,0
"['2000-01-09', '2000-01-16']",0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
"['2000-01-16', '2000-01-23']",6.428241286652267e-05,0.00018367281181517881,0.0002714181443494975,0.000411693602326975,0.0003839518863321409,0.0003214787557028194,0.0002998310250641215,0.00032891085161788225,0.00029610710842000284,0.00021184209581613992
"['2000-01-23', '2000-01-30']",0.00013622312293028887,0.000283451488641681,0.00038145620439485766,0.0004738674803699843,0.00047150832046469925,0.0004650177622666468,0.0004578578724496562,0.0003677155531075886,0.00023613273112814027,0.00016178404141048555
"['2000-01-30', '2000-02-06']",6.944791444754172e-05,0.00016909801444201143,0.00045787321639638516,0.0004433913766788661,0.00032600490834543995,0.00038682574787585324,0.00041027893085265725,0.00039099458926036395,0.0002470469526268636,0.00013479733675622211
"['2000-02-06', '2000-02-13']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2000-02-13', '2000-02-20']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2000-02-20', '2000-02-27']",0.00023655995476828956,0.00039709006472827917,0.0004713603733974083,0.0004972885847927767,0.0004566925612390838,0.0005062934203743373,0.0005410972972240032,0.0005367187005277256,0.00028030101173228653,0.00019771985465203326
"['2000-02-27', '2000-03-05']",0.00015146854914953792,0.00035216065490757957,0.00038517513259017194,0.00043816530352246727,0.0005125363756628649,0.0005294897240868046,0.0004089980268471368,0.00044748087655376695,0.0002285033991595132,0.0001482228578739322
"['2000-03-05', '2000-03-12']",8.631882220167786e-05,0.00028237907415709163,0.00046488872344822244,0.00035727229634233593,0.0003353718270722885,0.00037746845228824136,0.0003425177559411155,0.0004567776053864604,0.00038449358122478235,0.00016312634312937014
"['2000-03-12', '2000-03-19']",0.00015863051373935262,0.0002378727708502296,0.0003058208791284494,0.0002246159382211014,0.00034804335371350394,0.00038740970236901973,0.0003366871899631494,0.000409222526221875,0.0003481486299356587,0.00012131788103852457
"['2000-03-19', '2000-03-26']",0.00017528620984902317,0.00028018230952421195,0.0003614111713595682,0.00032688287994860467,0.0003393397700133346,0.00037681756263505296,0.00026200453707077303,0.00024301218111318106,0.00014699359618238817,0.00012411583691161458
"['2000-03-26', '2000-04-02']",0.0001025162504269591,0.00022601718974333236,0.0002911222185606057,0.00023635964739719017,0.00040865682230177097,0.0005607359878860687,0.0005460505326683311,0.0004789277313678741,0.00033473462109175105,0.00019390361483420134
"['2000-04-02', '2000-04-09']",0.00013125444185710817,0.00033387063837384673,0.0004678605677406099,0.00033280800059516105,0.00042951780188192775,0.00042098943136162494,0.0004091423668847128,0.0002555017390219071,0.0002612952532270302,0.00021843659889076483
"['2000-04-09', '2000-04-16']",0.00012490968131748808,0.0002871867295880747,0.00036021051030262917,0.0004111155990156552,0.0004368760943296862,0.000446927070848948,0.00048325092376786343,0.0003522848771014091,0.00024428634975146366,0.00011101336212985592
"['2000-04-16', '2000-04-23']",0.0001384708198486855,0.0002540999431952477,0.00028500428290071994,0.00025514477155891827,0.00028256279320706577,0.0004237124132806206,0.00032454766881819837,0.00025812030228683866,0.0001574999104202378,0.00013028331070543856
"['2000-04-23', '2000-04-30']",0.0001212906482893897,0.00019288311673271253,0.00023702732114900708,0.00033428347085127366,0.0003134401801551957,0.0004054235203438569,0.00033191693791093454,0.00030517439509813917,0.0002672939496064369,0.00017160547817485184
"['2000-04-30', '2000-05-07']",0.0001307990693942861,0.00025591018073794174,0.00026441578709723417,0.00042908264726886514,0.00035882835667739265,0.00038180109123357405,0.00032899897072129696,0.0002780547146683699,0.00030311410007218524,0.00019954495340622746
"['2000-05-07', '2000-05-14']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2000-05-14', '2000-05-21']",0.00011173348117355769,0.0003383479822316857,0.00033702852668680627,0.0004918678012523472,0.00047167070502664556,0.0004946525089078052,0.0004863449542269474,0.0003555856319378448,0.00033305243015802294,0.00020297721265110735
