window_period,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
"['2000-01-02', '2000-01-09']",0,0,0,0,0,0,0,0,0,0
"['2000-01-09', '2000-01-16']",1,1,1,1,1,1,1,1,1,1
"['2000-01-16', '2000-01-23']",0.0803530160831532,0.2295910147689731,0.3392726804368722,0.5146170029087186,0.4799398579151759,0.40184844462852437,0.37478878133015203,0.41113856452235265,0.37013388552500326,0.26480261977017505
"['2000-01-23', '2000-01-30']",0.1702789036628613,0.35431436080210144,0.4768202554935719,0.5923343504624803,0.5893854005808745,0.5812722028333084,0.5723223405620703,0.45964444138448585,0.29516591391017555,0.2022300517631069
"['2000-01-30', '2000-02-06']",0.0868098930594271,0.2113725180525141,0.5723415204954814,0.5542392208485829,0.4075061354317999,0.48353218484481697,0.5128486635658218,0.4887432365754548,0.3088086907835794,0.1684966709452778
"['2000-02-06', '2000-02-13']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2000-02-13', '2000-02-20']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2000-02-20', '2000-02-27']",0.29569994346036177,0.49636258091034885,0.5892004667467607,0.6216107309909706,0.5708657015488549,0.6328667754679214,0.6763716215300037,0.6708983756596573,0.3503762646653581,0.2471498183150413
"['2000-02-27', '2000-03-05']",0.1893356864369225,0.4402008186344749,0.48146891573771444,0.5477066294030842,0.6406704695785812,0.6618621551085058,0.5112475335589208,0.5593510956922088,0.2856292489493918,0.18527857234241502
"['2000-03-05', '2000-03-12']",0.10789852775209752,0.35297384269636434,0.5811109043102785,0.4465903704279199,0.4192147838403609,0.4718355653603016,0.4281471949263942,0.5709720067330755,0.4806169765309777,0.2039079289117128
"['2000-03-12', '2000-03-19']",0.19828814217419072,0.2973409635627873,0.3822760989105617,0.28076992277637675,0.4350541921418795,0.484262127961275,0.42085898745393685,0.5115281577773436,0.43518578741957353,0.1516473512981556
"['2000-03-19', '2000-03-26']",0.219107762311279,0.35022788690526474,0.4517639641994604,0.40860359993575557,0.4241747125166686,0.47102195329381624,0.3275056713384662,0.30376522639147663,0.1837419952279853,0.1551447961395186
"['2000-03-26', '2000-04-02']",0.1281453130336986,0.2825214871791656,0.3639027732007571,0.29544955924648786,0.5108210278772136,0.7009199848575858,0.6825631658354139,0.5986596642098425,0.4184182763646884,0.24237951854275153
"['2000-04-02', '2000-04-09']",0.16406805232138527,0.41733829796730826,0.5848257096757621,0.41601000074395145,0.5368972523524095,0.526236789202031,0.5114279586058912,0.3193771737773837,0.3266190665337878,0.2730457486134559
