window_period,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
"['2000-01-02', '2000-01-09']",0,0,0,0,0,0,0,0,0,0
"['2000-01-09', '2000-01-16']",0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
"['2000-01-16', '2000-01-23']",0.00013874763916202308,0.0002137223225710195,0.00027006613604033103,0.00036266448190824623,0.0003311360450377721,0.00036839340622646643,0.0004165452934697636,0.00036760426600888576,0.00026349655834937986,0.0001496643629535126
"['2000-01-23', '2000-01-30']",0.00019683604919130187,0.00028192578183004784,0.00031706647681560427,0.00045779338128602295,0.00043381186811764806,0.0005106694013503333,0.0005213084392858057,0.00033783945667138136,0.00022300391672144593,7.110456337719491e-05
"['2000-01-30', '2000-02-06']",0.00018383691096367932,0.0002710210125589895,0.0003641054452216911,0.00040760448223302445,0.0003071908384740324,0.0005268541062407708,0.0004908782987198744,0.00043971448402194146,0.0004043269540851881,0.00018598987764350226
"['2000-02-06', '2000-02-13']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2000-02-13', '2000-02-20']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2000-02-20', '2000-02-27']",0.0003009084362530799,0.00043803639282763977,0.0005858177741493201,0.0007187896254876053,0.0007191386928817402,0.0007366298959502563,0.0008046918123528447,0.0005831130649803931,0.00044260822199779936,0.0002497297457145587
"['2000-02-27', '2000-03-05']",0.00019679600158802385,0.000280508356752927,0.0004764758433056688,0.0005447427094216005,0.0005379665613232316,0.0004620104071654494,0.0005453277256300696,0.0006025438703110325,0.0005224954866727043,0.0002588089609677338
"['2000-03-05', '2000-03-12']",0.00024039851022323235,0.00022249392993383272,0.0003633949419998108,0.0003321455845509394,0.00041175993395357045,0.00046582510171594107,0.00032191654873281965,0.0003027703296764467,0.00023058637273350724,9.065584953815718e-05
"['2000-03-12', '2000-03-19']",0.0001799086421326824,0.0001418340034822554,0.00023006936402761324,0.00036617121346845113,0.0003664492798699493,0.00041799893548161474,0.0003520538021109307,0.0005494817463134714,0.0005053546420494093,0.00020976822193748083
"['2000-03-19', '2000-03-26']",0.00013843343585703504,0.00026281978457682464,0.0005155577560045104,0.0005278174106768121,0.00036138526100625023,0.00048537436098808264,0.0004580587139094947,0.0004988712798420431,0.000535318814583396,0.00022773828901368728
"['2000-03-26', '2000-04-02']",0.00018785837455430234,0.000281422900061189,0.0004179190421175751,0.00035635372992502776,0.00018694843069876448,0.00021535572012891684,0.00031812883229331157,0.00040111248695333553,0.00031663758495323866,0.0001400724772760806
"['2000-04-02', '2000-04-09']",8.624124028907564e-05,0.00022419451178796895,0.0004042807201322696,0.000428760715746536,0.00033373238101184403,0.00041576064628412836,0.00039755056777723645,0.0005609160334452696,0.0003412212511915024,0.00016424455436237653
"['2000-04-09', '2000-04-16']",0.00013592510632181866,0.00015440038183563842,0.00034095156282918824,0.00041544951859590317,0.0002584899676007329,0.000348153881442941,0.000301207806600812,0.0003313799232232608,0.0002340708113049417,0.0001413459638530908
"['2000-04-16', '2000-04-23']",0.00017049345075931968,0.0002054352123689805,0.0004599396095317877,0.0004199126045257053,0.0003854602280997622,0.00042936986666344194,0.00031200324145660367,0.0002937452504782723,0.00018016713059546374,0.00013928463122343782
"['2000-04-23', '2000-04-30']",0.00017816082640127468,0.0002644746867087016,0.00041796885115140804,0.00036238597563987304,0.0003923372604162749,0.00044332559165430406,0.0002518724609790392,0.00031617911294427935,0.00022954146122494085,0.00014059720153407405
"['2000-04-30', '2000-05-07']",0.0001560470613696787,0.0001945984310278829,0.00035646003438091203,0.00040170884271882,0.0002716258546631849,0.0003842775067379124,0.0003952763307618158,0.0004058037907728428,0.00037281197079619817,0.00010947319739816171
"['2000-05-07', '2000-05-14']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2000-05-14', '2000-05-21']",0.000569503178053328,0.0005423369053979163,0.0007734087852739794,0.000813348606691867,0.0008588647327886637,0.0007231116838090439,0.000602520963520213,0.0005780248870382999,0.0005663340497581339,0.0002858416617715658
