window_period,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
"['2000-01-02', '2000-01-09']",0,0,0,0,0,0,0,0,0,0
"['2000-01-09', '2000-01-16']",1,1,1,1,1,1,1,1,1,1
"['2000-01-16', '2000-01-23']",0.1734345489525287,0.2671529032137744,0.33758267005041365,0.45333060238530803,0.4139200562972156,0.4604917577830829,0.5206816168372045,0.4595053325111069,0.3293706979367248,0.18708045369189036
"['2000-01-23', '2000-01-30']",0.2460450614891276,0.35240722728755985,0.3963330960195052,0.5722417266075286,0.5422648351470598,0.6383367516879168,0.6516355491072573,0.422299320839227,0.27875489590180746,0.0888807042214941
"['2000-01-30', '2000-02-06']",0.22979613870459908,0.338776265698737,0.4551318065271137,0.5095056027912808,0.38398854809254057,0.6585676328009638,0.613597873399843,0.5496431050274271,0.5054086926064849,0.2324873470543775
"['2000-02-06', '2000-02-13']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2000-02-13', '2000-02-20']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2000-02-20', '2000-02-27']",0.37613554531634996,0.5475454910345494,0.7322722176866507,0.8984870318595064,0.8989233661021752,0.9207873699378202,1.0058647654410557,0.7288913312254913,0.553260277497249,0.31216218214319863
"['2000-02-27', '2000-03-05']",0.24599500198502952,0.350635445941159,0.5955948041320858,0.6809283867770006,0.6724582016540395,0.5775130089568117,0.6816596570375868,0.7531798378887905,0.6531193583408812,0.3235112012096672
"['2000-03-05', '2000-03-12']",0.30049813777904055,0.27811741241729043,0.45424367749976347,0.4151819806886741,0.514699917441963,0.5822813771449267,0.4023956859160245,0.3784629120955582,0.2882329659168835,0.11331981192269629
"['2000-03-12', '2000-03-19']",0.22488580266585304,0.17729250435281932,0.28758670503451655,0.45771401683556423,0.458061599837437,0.5224986693520183,0.44006725263866353,0.6868521828918395,0.6316933025617616,0.2622102774218512
"['2000-03-19', '2000-03-26']",0.1730417948212939,0.32852473072103106,0.6444471950056381,0.659771763346015,0.4517315762578127,0.6067179512351032,0.5725733923868683,0.623589099802554,0.6691485182292451,0.2846728612671091
"['2000-03-26', '2000-04-02']",0.2348229681928778,0.35177862507648616,0.522398802646969,0.4454421624062849,0.23368553837345563,0.2691946501611465,0.39766104036663996,0.5013906086916695,0.3957969811915486,0.17509059659510098
"['2000-04-02', '2000-04-09']",0.10780155036134448,0.2802431397349613,0.5053509001653369,0.5359508946831697,0.41716547626480494,0.5197008078551606,0.4969382097215451,0.7011450418065871,0.42652656398937794,0.20530569295297071
"['2000-04-09', '2000-04-16']",0.16990638290227358,0.19300047729454803,0.42618945353648513,0.5193118982448792,0.3231124595009161,0.4351923518036759,0.37650975825101496,0.41422490402907597,0.2925885141311768,0.1766824548163633
