window_period,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
"['2000-01-02', '2000-01-09']",0,0,0,0,0,0,0,0,0,0
"['2000-01-09', '2000-01-16']",0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
"['2000-01-16', '2000-01-23']",0.00033855306128333714,0.0006539164627561956,0.0009606579331924286,0.0010307227068515113,0.0011345316752819998,0.001267545332777315,0.0012987743996333988,0.0011527657161017012,0.0008592418237017287,0.00043833503762912885
"['2000-01-23', '2000-01-30']",0.0007129890381770764,0.0011007753597902605,0.0014041698322053036,0.0013943971986305984,0.0014618348753008812,0.0014413277910490891,0.0012630310378720095,0.000999243926873571,0.0006714633912733051,0.00036673701268365817
"['2000-01-30', '2000-02-06']",0.0003666748076539725,0.0006615584164662237,0.0011447260035951398,0.001294733912565432,0.0010125887037098612,0.001302795911166597,0.0013430130611617223,0.001199721304584944,0.000968405309231697,0.0004965127337318941
"['2000-02-06', '2000-02-13']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2000-02-13', '2000-02-20']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2000-02-20', '2000-02-27']",0.0014282733246885528,0.0014251672416604232,0.0014802684460846244,0.0012812899781710217,0.0014605195410842887,0.001420626935069503,0.0013346084829002785,0.0015129765775439487,0.0014208117363151006,0.0009890066507629344
"['2000-02-27', '2000-03-05']",0.0002217706041059964,0.00044592191463341534,0.0006188790400239903,0.0006542196211115351,0.000873985776366395,0.0007345092740988185,0.0006839060355353845,0.00061838493890096,0.0004925743702522435,0.00045189907456084986
"['2000-03-05', '2000-03-12']",0.0002487928192828317,0.00046271785569853164,0.0005531689021531949,0.0005547506656617093,0.0005287211231818925,0.0004319540882629293,0.0005343335849625196,0.0007298078085562351,0.0005670940884083366,0.0004085893692638606
"['2000-03-12', '2000-03-19']",0.00016461325912613405,0.0003173890687087615,0.0003597604242201125,0.00043758439635359147,0.0004656120364360138,0.0003178280412826032,0.000454378334923351,0.0004276752497707184,0.00041857245581452363,0.00021733254254184675
"['2000-03-19', '2000-03-26']",0.0009483787033344928,0.0015017963889784438,0.0014968444848688356,0.001454858363193198,0.001515392679557119,0.0015370607002843854,0.001449893028495082,0.0014208572095177454,0.00132384920863485,0.0007955118668105701
"['2000-03-26', '2000-04-02']",0.0007105442701636402,0.0009767165935905323,0.0010599811805126105,0.001088988953453707,0.000985625049229559,0.001116797538466728,0.0009431052343708841,0.0006789442189876079,0.0006146235070800396,0.0005918867964261478
"['2000-04-02', '2000-04-09']",0.0007351786882602628,0.0011480778607819893,0.0010437825199158266,0.0013523602833573995,0.0013472514367824397,0.0013335315112043423,0.0012800275201769484,0.0013333223056616259,0.001244587419117917,0.0008088396634619523
"['2000-04-09', '2000-04-16']",0.000692941945989087,0.0008785736696423153,0.000718326083734142,0.0008587667681561012,0.0007673357265221487,0.0008108389410704502,0.0009072260324191586,0.000838094589435575,0.00035922525626826737,0.0003540712802619525
"['2000-04-16', '2000-04-23']",0.0005298757736177664,0.0007559279426866956,0.0006654808219498031,0.0007119729702559279,0.0006070103558849949,0.0005829309453412164,0.0005807384244785553,0.000608449773658879,0.0003954942814625495,0.0003775527445847338
"['2000-04-23', '2000-04-30']",0.0007504769763204693,0.0012433078023389539,0.0013720026188102333,0.0012220450328795768,0.0010054895739201864,0.001042979826918759,0.0010267215922983204,0.0009299839920061533,0.0008186080069088413,0.000504578053629596
"['2000-04-30', '2000-05-07']",0.0007870677147570417,0.001142260072194748,0.0013376733985888908,0.0014701336602653157,0.001540304510254852,0.001538847471188231,0.0015390829729164295,0.0013469427857331804,0.001087540736419042,0.0006047930986972192
"['2000-05-07', '2000-05-14']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2000-05-14', '2000-05-21']",0.0008747879532439911,0.0012397473022653547,0.0013604405291625559,0.0011343924910705808,0.0012803479944197753,0.0012725681568312678,0.0010058788196443263,0.0010182547767776532,0.0008654839434963178,0.0005105564780740503
