window_period,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
"['2000-01-02', '2000-01-09']",0,0,0,0,0,0,0,0,0,0
"['2000-01-09', '2000-01-16']",0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
"['2000-01-16', '2000-01-23']",0.0005727846352885431,0.001023724724959393,0.0011518480653471483,0.0010574008583412718,0.0011329741591210793,0.0011749995755679491,0.00123767351704589,0.0012135030996812126,0.0010643579702845662,0.0004831317642250049
"['2000-01-23', '2000-01-30']",0.0006795669791976912,0.0009489554102571283,0.0011740684873809012,0.0011833458816735147,0.0012594595077546334,0.0011408565897907397,0.0012497780069842164,0.000978595400206554,0.0007460173296268307,0.000340296212046126
"['2000-01-30', '2000-02-06']",0.000498081507103081,0.0009574461612985802,0.00111755977554333,0.0011474490274229448,0.0011842420568482668,0.001145422394880559,0.0012981058466377642,0.0011463176793530512,0.0009946190568842993,0.0005594828412469399
"['2000-02-06', '2000-02-13']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2000-02-13', '2000-02-20']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2000-02-20', '2000-02-27']",0.0008100543156560701,0.0013271637544144091,0.0010744762147325488,0.0012861161182417956,0.0013316130540380927,0.001391716021442545,0.0011513610124561165,0.0011733537949420439,0.0011688674443542865,0.0004470649161534886
"['2000-02-27', '2000-03-05']",0.0003580625813590361,0.0010669423447033854,0.001125748198089332,0.0010482039598588865,0.0012446909825526496,0.001144789412213421,0.0012905704945991789,0.0012092315727961862,0.0011704822286938206,0.0005606913912965695
"['2000-03-05', '2000-03-12']",0.0003514318396274297,0.0005909847891063586,0.0009000718227916562,0.000908027881875531,0.0009665832312712668,0.0010134352693653315,0.001166281406524496,0.0009147676172687539,0.0006949144603851884,0.00031283510714045674
"['2000-03-12', '2000-03-19']",0.0002795375399857569,0.0008143775272101441,0.0009038722205664401,0.0009214800655335301,0.0008874476654946025,0.001060757102717942,0.0009096915719497238,0.0009094041201727745,0.0008254319397493324,0.0004707714833118819
"['2000-03-19', '2000-03-26']",0.0007628923108432846,0.001203153814852554,0.0009588502232234964,0.0011248448200992967,0.0013469697604045934,0.0011541575744761705,0.0012326860783460237,0.0010805283494040485,0.001198673275094039,0.0006023943921066308
"['2000-03-26', '2000-04-02']",0.0005092612366405192,0.0007428680425281221,0.0009200037009332123,0.001047656669796958,0.0012514231916342343,0.0012020275007155385,0.0012951353705725607,0.0012213793971900802,0.0010598628846915197,0.0005306477398789891
"['2000-04-02', '2000-04-09']",0.0005898963556678637,0.0009287902613250094,0.001054867184650426,0.0013584761685586414,0.0012329667344747328,0.0012770244098557549,0.001144293978389265,0.0012471500816584552,0.0011810791750020292,0.0004993659570713813
"['2000-04-09', '2000-04-16']",0.0005112022954610384,0.0010717465566030299,0.0012414206451444062,0.0012972216581146776,0.001252642606131729,0.0012439113473363074,0.001334046783721332,0.0011883763250053817,0.0010773591879292511,0.0005096635135843849
"['2000-04-16', '2000-04-23']",0.0006151204724131427,0.001071038765667093,0.0011978601249206635,0.001233277564097442,0.0013475001002397524,0.0012494754939257316,0.0012247310705633307,0.0012950326277445007,0.0009647605723085232,0.0005806032925395478
"['2000-04-23', '2000-04-30']",0.0005253457809311249,0.001031940128226377,0.0012909485939031355,0.0012783289202721885,0.0013145318386505534,0.001298719719224828,0.00137726206398288,0.0013308731039596146,0.001027154982984311,0.0005021345370816149
"['2000-04-30', '2000-05-07']",0.0007256695673354939,0.001084581226885156,0.0012866369962750137,0.001303098258351613,0.001329514155858921,0.0012989117596508618,0.001246362290432703,0.0012277204898049076,0.0011571725052774576,0.000688479750730204
"['2000-05-07', '2000-05-14']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2000-05-14', '2000-05-21']",0.0006358283196578485,0.0009755171906783711,0.0011896174915473111,0.0011149125339916532,0.0011227985847083253,0.0012820876316921063,0.0012840046727364868,0.001116822380011538,0.0007321379803673683,0.0005160004662758355
"['2000-05-21', '2000-05-28']",0.0006053151713155238,0.0008361095540827868,0.001113983162349717,0.001255837789918662,0.0013217672700003703,0.001332957070716642,0.0011755423369301768,0.001043523750326195,0.001001002827422959,0.0005567914645713288
