window_period,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
"['2000-01-02', '2000-01-09']",0,0,0,0,0,0,0,0,0,0
"['2000-01-09', '2000-01-16']",1,1,1,1,1,1,1,1,1,1
"['2000-01-16', '2000-01-23']",0.715980794110679,1.2796559061992414,1.4398100816839352,1.32175107292659,1.4162176989013493,1.4687494694599361,1.547091896307362,1.5168788746015163,1.330447462855708,0.6039147052812562
"['2000-01-23', '2000-01-30']",0.8494587239971139,1.1861942628214102,1.4675856092261266,1.4791823520918932,1.5743243846932917,1.4260707372384251,1.5622225087302704,1.2232442502581922,0.9325216620335385,0.42537026505765746
"['2000-01-30', '2000-02-06']",0.6226018838788512,1.1968077016232255,1.3969497194291627,1.4343112842786812,1.4803025710603337,1.431777993600699,1.6226323082972056,1.4328970991913144,1.243273821105374,0.6993535515586748
"['2000-02-06', '2000-02-13']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2000-02-13', '2000-02-20']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2000-02-20', '2000-02-27']",1.0125678945700878,1.6589546930180115,1.343095268415686,1.6076451478022444,1.6645163175476154,1.7396450268031818,1.4392012655701456,1.4666922436775551,1.4610843054428584,0.5588311451918607
"['2000-02-27', '2000-03-05']",0.4475782266987952,1.3336779308792321,1.407185247611665,1.3102549498236085,1.555863728190812,1.4309867652667763,1.6132131182489742,1.5115394659952328,1.4631027858672758,0.7008642391207119
"['2000-03-05', '2000-03-12']",0.439289799534287,0.7387309863829478,1.1250897784895706,1.1350348523444134,1.2082290390890837,1.2667940867066645,1.4578517581556203,1.1434595215859424,0.8686430754814858,0.39104388392557105
"['2000-03-12', '2000-03-19']",0.34942192498219643,1.0179719090126804,1.12984027570805,1.1518500819169133,1.1093095818682537,1.3259463783974277,1.1371144649371545,1.1367551502159685,1.0317899246866653,0.5884643541398522
"['2000-03-19', '2000-03-26']",0.9536153885541057,1.5039422685656927,1.1985627790293707,1.4060560251241203,1.683712200505742,1.4426969680952135,1.5408575979325296,1.3506604367550605,1.4983415938675488,0.752992990133289
"['2000-03-26', '2000-04-02']",0.6365765458006493,0.9285850531601524,1.1500046261665156,1.3095708372461976,1.5642789895427929,1.502534375894423,1.6189192132157006,1.5267242464876003,1.3248286058643994,0.6633096748487366
"['2000-04-02', '2000-04-09']",0.7373704445848299,1.1609878266562619,1.3185839808130326,1.698095210698302,1.5412084180934158,1.5962805123196935,1.4303674729865814,1.558937602073069,1.476348968752537,0.6242074463392264
"['2000-04-09', '2000-04-16']",0.6390028693262977,1.3396831957537874,1.5517758064305078,1.6215270726433468,1.5658032576646617,1.5548891841703845,1.6675584796516647,1.4854704062567274,1.3466989849115638,0.6370793919804809
