window_period,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
"['2000-01-02', '2000-01-09']",,,,,,,,,,
"['2000-01-09', '2000-01-16']",-0.07636528396130814,-0.07215251079671543,-0.06135450834656726,-0.0653534764561924,-0.06514964212255442,-0.062040636115662455,-0.06359949759186116,-0.07840354109162909,-0.07668830284119994,-0.06272544090633775
"['2000-01-16', '2000-01-23']",0.018293115074406317,0.04290742115146072,0.0470772783981901,0.03635190620376678,0.0383468487070636,0.04608567142297735,0.06124061704891394,0.0604251107633775,0.0748398993035805,0.06591426530649408
"['2000-01-23', '2000-01-30']",0.03173253560432917,0.040008989663939044,0.037778013812214975,0.047581148343108,0.030565944020174166,0.053393575402331084,0.05962444609326259,0.07776179213675852,0.06732645864834595,0.09750051641446089
"['2000-01-30', '2000-02-06']",-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765
"['2000-02-06', '2000-02-13']",-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765
"['2000-02-13', '2000-02-20']",0.045240434246878306,0.053782024997478195,0.04395504251543097,0.0887159066245519,0.09575395286071893,0.06862071730480857,0.1307518229274184,0.12389560247707741,0.16868579875167755,0.15568620096636268
"['2000-02-20', '2000-02-27']",0.009057092944211968,-0.00087745933453955,-0.01996851725235932,-0.011182504058416413,-0.020657114189808874,-0.02226753357178143,-0.020228024048004264,-0.060464314574114005,-0.04067329889666524,-0.0776491825931977
"['2000-02-27', '2000-03-05']",0.06450670904763237,0.05927802142642673,0.08109231712576276,0.05408679635822133,0.05948147357967511,0.057130148003137864,0.05820850130866569,0.043167871769379994,0.06189060523420523,0.0657708398895025
"['2000-03-05', '2000-03-12']",-0.015525716979307934,-0.015733958216713743,-0.036575634019306656,-0.02588632651741182,-0.011853610578475069,-0.01640020226659368,-0.007342292370884795,-0.028136817139222184,-0.02933666358489857,-0.011356490051430447
"['2000-03-12', '2000-03-19']",-0.018476700237171396,-0.02222156260402947,-0.05058955999215018,-0.021723733331903576,-0.012874290288812448,-0.03586959409130826,-0.017246511827783445,-0.02804442877411041,-0.02155899209095193,-0.04404626976261081
"['2000-03-19', '2000-03-26']",0.043268792485286416,0.037934821816265174,0.04812644213180392,0.04764361341448402,0.051668763539519616,0.05541478528472059,0.03668120946774736,0.05445004797293577,0.03478969243195436,0.04377241730984054
"['2000-03-26', '2000-04-02']",0.055096743624890684,0.04780921879238668,0.04289659974718413,0.055198603702143384,0.04862571380548626,0.030358810785946114,0.03874267533422402,0.01771299202476004,0.016873230780507467,0.012875750605956015
"['2000-04-02', '2000-04-09']",0.014699755715671989,0.019138869560081852,0.03945745488683166,0.00573473667016538,0.027137689391958486,0.0016052430100991551,0.0006886435817142373,0.00019284503088055416,0.006723334936368575,-0.017485733879143834
