window_period,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
"['2000-01-02', '2000-01-09']",0,0,0,0,0,0,0,0,0,0
"['2000-01-09', '2000-01-16']",0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
"['2000-01-16', '2000-01-23']",0.0009765228696808232,0.0011879534159465943,0.0012845203438540207,0.0013219473499285355,0.0012944591555722686,0.0013123326609327736,0.0012434739496434203,0.0010659814482066022,0.0009764708077757468,0.0005289300277071467
"['2000-01-23', '2000-01-30']",0.0011022808889949009,0.0011809986479177901,0.0013040392910033485,0.0012058533334719519,0.0014563755906130146,0.0011915937085271002,0.0012307117424363862,0.0013415114759079876,0.0010563923672848702,0.0007296823419890207
"['2000-01-30', '2000-02-06']",0.0009262609258564179,0.0014038768001147217,0.0013967596550284109,0.0013714583858918119,0.0012228724048827541,0.0014314282554996555,0.0012757192678177873,0.0011223890587264774,0.0011775024429304271,0.0009134968817225098
"['2000-02-06', '2000-02-13']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2000-02-13', '2000-02-20']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2000-02-20', '2000-02-27']",0.0009264489431727183,0.001168732498284662,0.0012827567864997836,0.0013125431443768755,0.001266166324841587,0.0014458715693431603,0.0012036299602855524,0.0013176265562521569,0.0010878322997022734,0.0006944888346128158
"['2000-02-27', '2000-03-05']",0.0008950052369341254,0.0013003483206824396,0.0013540571237288842,0.001356321094041162,0.0013610858582245203,0.0013106894341804176,0.0008726648100707568,0.001322025628182762,0.0011408801686408235,0.0008341085743616606
"['2000-03-05', '2000-03-12']",0.0008614147000432562,0.001233791076178472,0.001215165544719895,0.0013185311059744419,0.001320651904140331,0.001407667642182971,0.0013528436310693503,0.0012663917976568607,0.0011584306091675365,0.0005533294492056159
"['2000-03-12', '2000-03-19']",0.0009243123472188646,0.0011921508283041968,0.0014455657921234738,0.0013843140285242227,0.0013939721636289364,0.0013176561538768522,0.0013143685529695339,0.0012649723326478976,0.0010741016546946865,0.0006976784664532464
"['2000-03-19', '2000-03-26']",0.0011178457566810452,0.0013444764162566217,0.0013507798941852695,0.001410115072618992,0.0014907583181282499,0.0012757190948577092,0.0012888096865531105,0.0013935996498711729,0.001321342709348571,0.0007910829854416393
"['2000-03-26', '2000-04-02']",0.0009679860808703788,0.001165513493514944,0.0012261423496896006,0.0013882461203286298,0.0011876028561915914,0.0013285391283490758,0.0012238073313288632,0.0013278498969727295,0.0012676103686241635,0.0006898378263376492
"['2000-04-02', '2000-04-09']",0.0009040435812922347,0.001216275487650738,0.0014500837076709184,0.001480356796492922,0.001223269053465861,0.0013081091338252504,0.0014317118481949804,0.0013041391351281692,0.0011742984258456225,0.00044125755213812864
"['2000-04-09', '2000-04-16']",0.000835897873816534,0.0011964044368902589,0.0012856983649308451,0.001398597343144806,0.001235012288548535,0.0012625775905441541,0.0011222949555169082,0.0012699244530174284,0.0012218057875382118,0.0005295132580242042
"['2000-04-16', '2000-04-23']",0.0010425105058940345,0.00132274846412517,0.0013772678756376578,0.0013675657409340522,0.0013721857527464406,0.001416274789973741,0.001340472084900521,0.0014219720353502916,0.0014594480488932813,0.001039652837891833
"['2000-04-23', '2000-04-30']",0.0008403581707944975,0.001185815060867695,0.0012825263792725424,0.0014190744714391587,0.0012922073950275012,0.0014349512505582764,0.0012759030997629229,0.0012560625302316599,0.001259531312478697,0.0008821365940090543
"['2000-04-30', '2000-05-07']",0.0008768115241013927,0.0013645802965821115,0.0012504016718836723,0.0013477168195926235,0.0011299464398385104,0.0013412351933621053,0.0010526211401850258,0.0012851188419069532,0.0011141710098757068,0.000589505572059955
"['2000-05-07', '2000-05-14']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2000-05-14', '2000-05-21']",0.0010309468560770279,0.001113768418264781,0.001371205053417713,0.0014103847988233688,0.0012757338958986045,0.0013090363757996839,0.0013130572455920227,0.0013126142773748192,0.001178029668660008,0.0006993508204092745
