window_period,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
"['2000-01-02', '2000-01-09']",0,0,0,0,0,0,0,0,0,0
"['2000-01-09', '2000-01-16']",1,1,1,1,1,1,1,1,1,1
"['2000-01-16', '2000-01-23']",1.2206535871010291,1.4849417699332434,1.6056504298175258,1.6524341874106692,1.618073944465336,1.6404158261659667,1.5543424370542753,1.3324768102582527,1.2205885097196836,0.6611625346339338
"['2000-01-23', '2000-01-30']",1.377851111243626,1.4762483098972372,1.6300491137541857,1.5073166668399396,1.8204694882662684,1.489492135658875,1.5383896780454829,1.6768893448849842,1.3204904591060875,0.9121029274862756
"['2000-01-30', '2000-02-06']",1.1578261573205226,1.7548460001434025,1.7459495687855136,1.714322982364765,1.5285905061034426,1.7892853193745695,1.594649084772234,1.4029863234080966,1.4718780536630347,1.1418711021531376
"['2000-02-06', '2000-02-13']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2000-02-13', '2000-02-20']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2000-02-20', '2000-02-27']",1.1580611789658974,1.4609156228558278,1.6034459831247299,1.640678930471094,1.5827079060519837,1.8073394616789502,1.5045374503569406,1.6470331953151964,1.3597903746278412,0.8681110432660195
"['2000-02-27', '2000-03-05']",1.1187565461676567,1.6254354008530494,1.6925714046611058,1.6954013675514528,1.7013573227806504,1.6383617927255218,1.090831012588446,1.6525320352284525,1.426100210801029,1.0426357179520758
"['2000-03-05', '2000-03-12']",1.0767683750540704,1.5422388452230897,1.5189569308998687,1.6481638824680525,1.650814880175414,1.7595845527287137,1.6910545388366878,1.5829897470710759,1.4480382614594212,0.6916618115070197
"['2000-03-12', '2000-03-19']",1.1553904340235812,1.4901885353802462,1.8069572401543421,1.7303925356552785,1.7424652045361708,1.6470701923460653,1.642960691211917,1.5812154158098721,1.3426270683683579,0.8720980830665581
"['2000-03-19', '2000-03-26']",1.3973071958513066,1.680595520320777,1.6884748677315873,1.7626438407737397,1.8634478976603122,1.5946488685721367,1.6110121081913882,1.7419995623389657,1.6516783866857143,0.9888537318020496
"['2000-03-26', '2000-04-02']",1.2099826010879733,1.4568918668936799,1.532677937112001,1.7353076504107876,1.484503570239489,1.6606739104363448,1.5297591641610793,1.6598123712159123,1.5845129607802044,0.8622972829220614
"['2000-04-02', '2000-04-09']",1.1300544766152936,1.5203443595634225,1.8126046345886484,1.8504459956161523,1.5290863168323265,1.635136417281563,1.7896398102437256,1.6301739189102116,1.4678730323070281,0.5515719401726609
"['2000-04-09', '2000-04-16']",1.0448723422706676,1.495505546112824,1.6071229561635567,1.7482466789310078,1.543765360685669,1.5782219881801924,1.402868694396135,1.5874055662717856,1.5272572344227648,0.6618915725302553
