window_period,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
"['2000-01-02', '2000-01-09']",0,0,0,0,0,0,0,0,0,0
"['2000-01-09', '2000-01-16']",0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
"['2000-01-16', '2000-01-23']",0.00020865886906171657,0.000624329088438186,0.0007745732305621648,0.0007618348140808885,0.0009240832879400863,0.0010500863706323358,0.0008574799404043092,0.0009378049531061474,0.0008290988857797291,0.0002997105278996756
"['2000-01-23', '2000-01-30']",0.00030526680673428376,0.000699618841464063,0.000841880051772218,0.0008466508925455173,0.0009135558319054222,0.0009848788344536123,0.0009777509755414244,0.0006347454181337698,0.0006665955121484518,0.00043653256993814074
"['2000-01-30', '2000-02-06']",0.0003990688883018163,0.0009679384117976977,0.0007689075803170847,0.0010474072412433328,0.0010757064182944965,0.001053845543018325,0.0009114443934742498,0.0008801123248628883,0.0007353559910391178,0.00041165712200666514
"['2000-02-06', '2000-02-13']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2000-02-13', '2000-02-20']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2000-02-20', '2000-02-27']",0.00045291445875881035,0.0008154983684950945,0.0011216714812084072,0.0011526617339030147,0.0009560586408661265,0.0009955397656695958,0.0010399846097087666,0.001066190126306995,0.0009849317620509895,0.00029281303045090905
"['2000-02-27', '2000-03-05']",0.00035031117480053533,0.0005704470181789076,0.0006832689515864237,0.0008373875463983773,0.0008217316672224351,0.0008655415727197909,0.0007614545918125954,0.000925564221492711,0.0008040785534538029,0.00028498930103361257
"['2000-03-05', '2000-03-12']",0.00027619195599979323,0.0006313967922523924,0.0005166621295735291,0.000854497167401781,0.0009146604275999832,0.0006171559782437179,0.0006526231725729735,0.0007895241067873294,0.00063660248410259,0.000219559446040387
"['2000-03-12', '2000-03-19']",0.0001956825117801553,0.0006283049084050775,0.0005624044494318601,0.0006918581714103415,0.0006635624940198512,0.0006173512281830934,0.0007385212430560481,0.000631362751469987,0.0006139118883728887,0.000354351883095836
"['2000-03-19', '2000-03-26']",0.000217535085011757,0.00048443617891949774,0.0006369485855823619,0.0007763248349634824,0.0006426095668649903,0.0006267687550803388,0.0007359737877100318,0.0007299724584370912,0.0005279593218871642,0.0002816091253769581
"['2000-03-26', '2000-04-02']",0.0002520203173194272,0.00047775208277992724,0.0004557882559866415,0.00046522494429190376,0.0005219527121136213,0.00048333940203347157,0.0006437936779338248,0.00047131758028619937,0.00036910938999230766,0.0002070374016068435
"['2000-04-02', '2000-04-09']",0.00022642255446110007,0.0005768536798165169,0.0007710943794734371,0.0007985965526554071,0.0007691297261567687,0.0007797976130486348,0.0006876303524376774,0.000442384876302922,0.00031622947649575595,0.00017485251413397763
"['2000-04-09', '2000-04-16']",0.000186587098948578,0.000409935665050418,0.0003025159636448703,0.00047986363599511727,0.0003119577876479004,0.00040202765936119954,0.0006128378172817445,0.00043721087130230146,0.00025581512639965973,0.0001687575566228323
"['2000-04-16', '2000-04-23']",0.00023333958131642989,0.00038875380983367493,0.0004724942917347682,0.00028608776182828397,0.0004522191151070077,0.00034380816118707684,0.00046107145695202805,0.0003027462721172051,0.00021076993981096383,0.00011343303427096569
"['2000-04-23', '2000-04-30']",6.237142964855332e-05,0.0003270709600182727,0.0004265621784589812,0.0004213937858528983,0.00047868545608442973,0.0004030593529506034,0.00028982523893295915,0.00029745905088119116,0.00022485871528061475,0.0001453133599841714
"['2000-04-30', '2000-05-07']",0.00023315861191613318,0.00036045145489422935,0.0002697509864423335,0.00032431229169534604,0.0005142967226333067,0.0005460303114532924,0.0006537588373437838,0.0004020185807860567,0.0004064381922785218,0.00020006313838026813
"['2000-05-07', '2000-05-14']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2000-05-14', '2000-05-21']",0.00016032647803057337,0.0004243420472244565,0.00038675134759393997,0.0004178325860226157,0.0005397132653890802,0.0005567694128426259,0.0005949010088641302,0.00040115069850077314,0.0005872795124113037,0.00029145161270013577
