window_period,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
"['2000-01-02', '2000-01-09']",0,0,0,0,0,0,0,0,0,0
"['2000-01-09', '2000-01-16']",1,1,1,1,1,1,1,1,1,1
"['2000-01-16', '2000-01-23']",0.2608235863271458,0.7804113605477327,0.9682165382027063,0.9522935176011105,1.1551041099251078,1.3126079632904197,1.0718499255053868,1.1722561913826843,1.0363736072246614,0.3746381598745945
"['2000-01-23', '2000-01-30']",0.3815835084178548,0.8745235518300787,1.0523500647152724,1.058313615681897,1.1419447898817776,1.2310985430670156,1.2221887194267802,0.7934317726672123,0.8332443901855648,0.5456657124226759
"['2000-01-30', '2000-02-06']",0.4988361103772704,1.209923014747122,0.9611344753963558,1.3092590515541658,1.3446330228681211,1.317306928772906,1.1393054918428125,1.1001404060786106,0.9191949887988974,0.5145714025083317
"['2000-02-06', '2000-02-13']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2000-02-13', '2000-02-20']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2000-02-20', '2000-02-27']",0.5661430734485127,1.0193729606188686,1.4020893515105093,1.4408271673787685,1.1950733010826584,1.244424707086995,1.2999807621359585,1.3327376578837438,1.2311647025637371,0.3660162880636363
"['2000-02-27', '2000-03-05']",0.43788896850066916,0.7130587727236346,0.8540861894830296,1.0467344329979715,1.0271645840280437,1.081926965899739,0.9518182397657444,1.1569552768658886,1.0050981918172535,0.35623662629201547
"['2000-03-05', '2000-03-12']",0.3452399449997416,0.7892459903154903,0.6458276619669113,1.0681214592522266,1.143325534499979,0.7714449728046474,0.8157789657162169,0.9869051334841618,0.7957531051282374,0.27444930755048336
"['2000-03-12', '2000-03-19']",0.24460313972519432,0.7853811355063474,0.7030055617898252,0.8648227142629269,0.8294531175248139,0.7716890352288666,0.9231515538200599,0.7892034393374836,0.7673898604661109,0.4429398538697956
"['2000-03-19', '2000-03-26']",0.27191885626469636,0.6055452236493724,0.7961857319779527,0.9704060437043527,0.803261958581238,0.7834609438504243,0.9199672346375396,0.9124655730463647,0.6599491523589553,0.3520114067211974
"['2000-03-26', '2000-04-02']",0.3150253966492841,0.5971901034749088,0.5697353199833015,0.5815311803648798,0.6524408901420269,0.6041742525418394,0.8047420974172814,0.589146975357749,0.4613867374903845,0.2587967520085546
"['2000-04-02', '2000-04-09']",0.2830281930763753,0.7210670997706461,0.9638679743417964,0.9982456908192592,0.9614121576959608,0.9747470163107934,0.8595379405470965,0.5529810953786528,0.39528684561969485,0.2185656426674722
