window_period,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
"['2000-01-02', '2000-01-09']",,,,,,,,,,
"['2000-01-09', '2000-01-16']",-0.05381905332506689,-0.06494022634667707,-0.07748126380237821,-0.0717350391095843,-0.0671357873862824,-0.0727778084906105,-0.07033564912118474,-0.06836016456555014,-0.074464476318988,-0.0633470894179229
"['2000-01-16', '2000-01-23']",0.05823310485355195,0.030395484248376597,0.03611104836856439,0.035339550202727624,0.0347969520925406,0.0659244265614498,0.06268237329208375,0.05035819019660135,0.05674697628344341,0.07357451814534695
"['2000-01-23', '2000-01-30']",0.03383073124098364,0.032561385898259715,0.022187999617209412,0.03892987439836479,0.053633751412160036,0.05955473764978624,0.08164488007642802,0.05049392485576474,0.06510097830347204,0.11551070388785283
"['2000-01-30', '2000-02-06']",-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765
"['2000-02-06', '2000-02-13']",-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765
"['2000-02-13', '2000-02-20']",0.05180328618382904,0.03545210006357106,0.07078784471530304,0.04926132449777462,0.11611806626845121,0.07521763907550068,0.10352189907073894,0.14202267937443408,0.13140761032294718,0.18737347880689356
"['2000-02-20', '2000-02-27']",0.007040183861445078,0.000999773481534543,0.003941651827965131,0.002685027899509437,-0.02130618116662073,-0.035049292764169966,-0.037898781366802956,-0.025195463882527726,-0.08225162438415166,-0.07893495109147455
"['2000-02-27', '2000-03-05']",0.04161607214582422,0.04006581955066673,0.059149372695646435,0.07440021638877604,0.0700830234105347,0.07922433763290361,0.044112842112870615,0.07346979642327907,0.0594692504140705,0.052879000827167476
"['2000-03-05', '2000-03-12']",-0.007945342882928736,0.0030566903245588,-0.014718486906037186,-0.02943716591030294,-0.020935135816544322,-0.02908086922518961,-0.034885402985528606,-0.031340016967956984,-0.009345010742898969,-0.03623368671845004
