window_period,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
"['2000-01-02', '2000-01-09']",0,0,0,0,0,0,0,0,0,0
"['2000-01-09', '2000-01-16']",0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
"['2000-01-16', '2000-01-23']",0.0003651352546973584,0.0007157975816769101,0.0007077755653260671,0.0008404572794476062,0.0009134727568935108,0.0008653247631374884,0.0009844229250000943,0.000940584524126913,0.0008090904311657454,0.0003280038122431313
"['2000-01-23', '2000-01-30']",0.0005048214480762946,0.0009556805322044359,0.0011053421110514552,0.0009408151001024354,0.0012251727740542448,0.0010819539650199078,0.001133847973787924,0.0008921236999098689,0.0005784354856724108,0.00023158347960301648
"['2000-01-30', '2000-02-06']",0.0005924759939352209,0.0011231019029540464,0.001134862500959388,0.0010514577603788849,0.0010253518775368493,0.0012497793715682951,0.0012197810790003773,0.001075678367911499,0.0006564322347599132,0.000365638364263139
"['2000-02-06', '2000-02-13']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2000-02-13', '2000-02-20']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2000-02-20', '2000-02-27']",0.0005386413948915446,0.0009698078536639948,0.0011062837801649142,0.0013113953461517342,0.001227620504203818,0.001080831898839888,0.0010860685029761789,0.0012074022788869012,0.0008958705397778753,0.0003206349576261151
"['2000-02-27', '2000-03-05']",0.0003805405333113032,0.0007416619900769742,0.0010261100785752915,0.0009727314696188324,0.00102142529453543,0.0011238628459374468,0.0009056631446345195,0.0009563090998045893,0.0009331556311732241,0.00034752890798136354
"['2000-03-05', '2000-03-12']",0.0002661376135860421,0.0005049198485834786,0.0007644919285740138,0.0008731188666251385,0.000769614465886946,0.0009638332424466103,0.0008229690709371424,0.0007389003653908233,0.0005752024419761375,0.0002657578686479131
"['2000-03-12', '2000-03-19']",0.00021206313406275912,0.0006268418377178152,0.0005466776459287178,0.0006143945377393511,0.0004970398614461155,0.0005216769654416025,0.0007123017673279421,0.0005774971073163605,0.0005184119901210827,0.0002626944378951509
"['2000-03-19', '2000-03-26']",0.00029201337132521204,0.0004859713086203131,0.00040690347020214666,0.00048546485781591456,0.0007016855801268082,0.0006713545803427721,0.0008226338127340172,0.0006584925620633095,0.0006124203944293786,0.0003632940508220628
"['2000-03-26', '2000-04-02']",0.00024509173955784423,0.0006433516989425198,0.0006318388226337518,0.0005029534140000353,0.0006402238881688552,0.000696608590342307,0.0006347300640375658,0.0006121810145435416,0.0004099259234243311,0.00023243724730281898
"['2000-04-02', '2000-04-09']",0.00030828951101926494,0.0007514388004418368,0.0007104121862892285,0.0005765701457432418,0.0006181588969663978,0.0006575725081407768,0.0005299663781831882,0.0005247860228989507,0.0004374687680448792,0.0002573991388432207
"['2000-04-09', '2000-04-16']",0.0001767118128594805,0.0004100409899662541,0.00031525303579886305,0.00044805087357710954,0.00041439657841783363,0.0005227945441306207,0.0004982889643411901,0.00043716529305555703,0.00034207557976901346,0.00019215649443924304
"['2000-04-16', '2000-04-23']",0.00033948904462397623,0.0006946854265901774,0.0005466359279447206,0.0002725284823413233,0.0004704721904252308,0.0006192037349020377,0.0004664842319405071,0.00036984535642316935,0.00045602467725016076,0.00018805254546886078
"['2000-04-23', '2000-04-30']",0.00022200562882107822,0.0006425782423860024,0.000913706417337731,0.0009061577239222212,0.0008732112285409059,0.0007413191803856435,0.0007616275821425794,0.0004858822698495011,0.000407861769515247,0.0002611632001372425
"['2000-04-30', '2000-05-07']",0.00020434113023323164,0.0004200173641002015,0.0003850124240554581,0.000552005399212843,0.0006062222858882114,0.0005004177160617656,0.0006440745540991633,0.0006923289972540522,0.0004729711904839001,0.00024079113199646383
"['2000-05-07', '2000-05-14']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2000-05-14', '2000-05-21']",0.00018149859171263417,0.00047796936057967513,0.0005183055092932695,0.000708403495729299,0.000694651072795093,0.0007692552481975312,0.0007485906303927711,0.000834505400431187,0.0008387277306732582,0.000388874855387387
