window_period,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
"['2000-01-02', '2000-01-09']",0,0,0,0,0,0,0,0,0,0
"['2000-01-09', '2000-01-16']",1,1,1,1,1,1,1,1,1,1
"['2000-01-16', '2000-01-23']",0.4564190683716977,0.8947469770961378,0.884719456657584,1.050571599309508,1.1418409461168877,1.0816559539218606,1.230528656250118,1.1757306551586413,1.0113630389571817,0.41000476530391405
"['2000-01-23', '2000-01-30']",0.631026810095368,1.1946006652555448,1.3816776388143188,1.1760188751280443,1.5314659675678066,1.352442456274885,1.417309967234905,1.115154624887336,0.7230443570905136,0.2894793495037711
"['2000-01-30', '2000-02-06']",0.7405949924190267,1.4038773786925582,1.4185781261992347,1.3143222004736064,1.2816898469210618,1.5622242144603695,1.5247263487504716,1.3445979598893736,0.8205402934498913,0.4570479553289234
"['2000-02-06', '2000-02-13']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2000-02-13', '2000-02-20']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2000-02-20', '2000-02-27']",0.6733017436144307,1.2122598170799934,1.3828547252061432,1.639244182689667,1.5345256302547727,1.3510398735498597,1.3575856287202237,1.5092528486086265,1.1198381747223443,0.40079369703264356
"['2000-02-27', '2000-03-05']",0.4756756666391285,0.9270774875962178,1.2826375982191143,1.2159143370235412,1.2767816181692875,1.4048285574218087,1.1320789307931494,1.1953863747557363,1.1664445389665299,0.4344111349767047
"['2000-03-05', '2000-03-12']",0.3326720169825532,0.6311498107293485,0.9556149107175171,1.0913985832814226,0.9620180823586825,1.204791553058263,1.0287113386714282,0.9236254567385296,0.7190030524701718,0.3321973358098913
"['2000-03-12', '2000-03-19']",0.2650789175784488,0.783552297147269,0.6833470574108974,0.767993172174189,0.6212998268076444,0.6520962068020031,0.8903772091599279,0.721871384145451,0.6480149876513539,0.32836804736893876
"['2000-03-19', '2000-03-26']",0.36501671415651515,0.6074641357753914,0.5086293377526836,0.6068310722698933,0.8771069751585105,0.8391932254284653,1.0282922659175213,0.8231157025791369,0.7655254930367232,0.45411756352757815
"['2000-03-26', '2000-04-02']",0.30636467444730525,0.8041896236781498,0.7897985282921896,0.6286917675000441,0.800279860211069,0.8707607379278836,0.7934125800469574,0.7652262681794268,0.5124074042804139,0.2905465591285243
"['2000-04-02', '2000-04-09']",0.38536188877408106,0.939298500552296,0.8880152328615358,0.7207126821790526,0.7726986212079977,0.821965635175971,0.6624579727289852,0.6559825286236882,0.5468359600560987,0.3217489235540255
"['2000-04-09', '2000-04-16']",0.2208897660743506,0.5125512374578174,0.3940662947485785,0.5600635919713872,0.5179957230222916,0.6534931801632758,0.6228612054264875,0.5464566163194464,0.4275944747112672,0.24019561804905387
