window_period,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
"['2000-01-02', '2000-01-09']",,,,,,,,,,
"['2000-01-09', '2000-01-16']",-0.06048750275514987,-0.06125683547158277,-0.06617587728891615,-0.08200158065668493,-0.05906642947048905,-0.07367057284679565,-0.07626434831581903,-0.06312303251649783,-0.062205660889791806,-0.076894073619339
"['2000-01-16', '2000-01-23']",0.05130928371670327,0.05025504908629617,0.03534517570370579,0.033240536570288866,0.05385353671030761,0.05264502958458311,0.05315568323623983,0.054154438409689816,0.06632974048098472,0.05456339388174451
"['2000-01-23', '2000-01-30']",0.03878760176934353,0.052523218654363726,0.03429353622820892,0.03211701719708421,0.030000596802266695,0.06955773795247891,0.0877663264074627,0.07159024091687163,0.07297732515731943,0.07001187295512908
"['2000-01-30', '2000-02-06']",-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765
"['2000-02-06', '2000-02-13']",-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765
"['2000-02-13', '2000-02-20']",0.1108366276140976,0.0440003114499404,0.045530339439723296,0.06544442580701525,0.06466732292319022,0.12268907593599336,0.10692189783212092,0.12534039935819458,0.0965428431472674,0.19001543873128776
"['2000-02-20', '2000-02-27']",0.004273715641154414,4.5355315161682195e-05,-0.005623753641981239,-0.020644253654283115,-0.0006848517651786974,-0.04603027197829774,-0.03162168138966477,-0.048818603459633715,-0.05562016941794566,-0.0700663273148106
"['2000-02-27', '2000-03-05']",0.03399115918591995,0.05347482655209833,0.04746459482483101,0.08202783320576691,0.06309097226630823,0.05359428946749477,0.07220308064627805,0.07782643277442788,0.05346881837108062,0.07374788250019862
"['2000-03-05', '2000-03-12']",-0.018523138178917528,-0.010577364097077647,0.009170871909843928,-0.020656577114818126,-0.03404658014730801,-0.02200528873569383,-0.03693851306632408,-0.05011009003673568,-0.03358887560830901,0.010835990664236303
"['2000-03-12', '2000-03-19']",-0.004869534630828377,-0.004053373912511813,-0.02262785347969334,-0.040372664264302194,-0.027651271888834376,-0.046607565586019195,-0.027326614230912375,-0.015395668081814392,-0.010777547828058396,-0.06625423357515756
"['2000-03-19', '2000-03-26']",0.024804193597422072,0.03732599975483878,0.05301358114074377,0.04799432461157778,0.03546325292351336,0.040417597443646175,0.05664854203965508,0.05964795351069676,0.0646700817547093,0.033977869130645995
"['2000-03-26', '2000-04-02']",0.04432872974033884,0.03692280138502065,0.041416797042056655,0.041909380600474756,0.05327518185555263,0.03771611331743163,0.031921939695790706,0.016429028419610487,0.024731249788765508,0.02904089214944548
"['2000-04-02', '2000-04-09']",0.02190524666660525,0.031141532484713144,0.01757974926893529,0.011830949935698528,0.013299339034479487,0.01755978428550483,0.007116117709681008,-0.0205400578013476,0.008110698063651153,-0.013019764066343965
"['2000-04-09', '2000-04-16']",0.03618959985511838,0.029457574719602028,0.027494336960785987,0.017108825138380614,0.009520386018473069,-0.0008283784098951416,0.00016371784399132016,0.0026417639362504336,-0.016689756063294307,-0.027701878541998806
"['2000-04-16', '2000-04-23']",-0.010239804492598687,-0.01358485884835814,-0.007438867324778513,0.010310807638145991,0.002007427575839888,0.013555498059538542,-0.0008149692037104971,-0.005746390424084573,0.010929917594394052,0.00015294683786450482
"['2000-04-23', '2000-04-30']",-0.003140037202553667,-0.005375253006714022,-0.003407278908870069,-0.005541312292450302,-0.00257622865658779,0.006949720764154501,0.003253281809574152,-0.011230852297218973,0.006677845649376289,0.004033481201421791
"['2000-04-30', '2000-05-07']",-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765
"['2000-05-07', '2000-05-14']",-0.053191458463314065,-0.06053220728672788,-0.0575498522128851,-0.06339208113575462,-0.0758096213759057,-0.06417123354013739,-0.06595270948040012,-0.06267757859494755,-0.08118399533801816,-0.0927847140806297
"['2000-05-14', '2000-05-21']",0.023321633791239395,0.03404483223070728,0.02296294913077704,0.043697773031507965,0.03189241844183723,0.037122420942457095,0.04815225537770597,0.02655676668693233,0.03526758149650313,0.036766115930760256
"['2000-05-21', '2000-05-28']",0.055450221848832144,0.051715105425153424,0.04074206306052923,0.06426372412525481,0.05367830792289038,0.05774731376887298,0.05393548191418728,0.057353842260971,0.05077630846770329,0.0509684316793895
"['2000-05-28', '2000-06-04']",0.04029179290351837,0.054254297522954645,0.01586813138218129,0.017316327071331617,0.02418533949301754,0.02557580219539151,0.003918329715488156,0.003343506781861967,0.007440651043177071,-0.0050878631399269274
"['2000-06-04', '2000-06-11']",-0.0021873394382206867,-0.018958073225688748,-0.005717299283585645,-0.0151036611006788,-0.0024586283967632746,-0.027097511489998102,-0.008598074517409394,0.005705048275238041,-0.003557133639812968,-0.010995520262978883
"['2000-06-11', '2000-06-18']",0.018057590337680365,0.030607137818318805,0.004305647243945482,0.022436193103445714,0.024770579531316988,0.011307601562065337,-0.007234537824180202,0.003474989950840425,-0.009232463257685808,-0.006103170899397111
"['2000-06-18', '2000-06-25']",0.008338530806343572,0.0048452710480735,0.012071476400388508,0.017987885118892714,0.00995827162475273,0.007159544185969708,0.012889798801555077,0.016090305960011837,0.009081800287496174,0.014250663981760914
"['2000-06-25', '2000-07-02']",0.016770037994834137,0.013816316133947583,-0.0001374995366253336,0.012761581925390291,0.011556614727679333,-0.005943432647827599,-0.007250293739293356,-0.007909081506050656,-0.020403466655432568,-0.02413362168765454
"['2000-07-02', '2000-07-09']",0.017233093864061494,0.011025138228995875,0.02353579278554296,-0.01375450680110216,0.012180287428092039,-0.005466534036148873,0.0018664139740273387,-0.00047472127487707184,-0.005222539133622094,-0.0164246938021076
"['2000-07-09', '2000-07-16']",0.026102763857749168,0.028706257934719488,0.025593862381527308,0.016317738050000877,0.025253957344221634,0.020038437391246777,0.029640598739558467,0.02728095219092153,0.03011940712550748,0.012284692293081352
"['2000-07-16', '2000-07-23']",0.0039010950633892134,0.006653065465102423,0.008913611057774606,0.0015632744334937634,0.005567602583111075,0.012844082525029528,-0.0027649276568329642,0.007534765500868474,0.0017425567235483147,-0.007012424187564875
"['2000-07-23', '2000-07-30']",0.004415202385031447,0.007498519566532916,0.007084337215741986,0.01073923719642996,0.01207757870008892,0.0011360750386890284,0.007143084082254133,-0.0013060800276728114,0.008422244427671467,8.875188574565887e-06
"['2000-07-30', '2000-08-06']",-0.011690484920623813,0.0038414440386364103,-0.003586951732613577,-0.002353085173466684,-0.001676987023377477,0.0020273999994491194,0.007774443375531468,0.012501646458503431,0.016147566586297093,0.02310199049440293
"['2000-08-06', '2000-08-13']",0.014430257832418388,0.0009143289382577525,0.00043173516470326214,0.017337202569821603,0.011338567208994479,0.024203158930870515,0.018911079795825916,0.020920473917711846,0.019789313835246576,0.02115057000041714
"['2000-08-13', '2000-08-20']",0.0063487258394366395,0.016533185248602766,0.01052649833227099,0.011435417885969926,0.005804434893296275,0.008859237886379429,0.006298310432089372,0.006769721453432694,0.004757360315933879,-0.004741628856125866
"['2000-08-20', '2000-08-27']",-0.010236508958005748,-0.006759137301193658,-0.0023048236826810056,-0.0016702951048203235,0.009189516292847711,-0.013406323505391273,-0.009887794696462273,-0.003528481893386276,-0.014554647353007887,-0.014497155772791894
"['2000-08-27', '2000-09-03']",-0.03477295862154493,-0.04344074571017821,-0.04159978938659919,-0.039627900240897976,-0.04463850571295712,-0.053325140804388396,-0.030614907441007484,-0.039931189728674474,-0.042407748719116733,-0.041299086671268054
"['2000-09-03', '2000-09-10']",-0.029976127225902083,-0.026468089498877485,-0.021440131997543587,-0.018156544132084295,-0.02579470116953025,-0.023233610195592197,-0.009131294324206347,-0.01330601652146639,-0.006457151839095695,-0.017867362055408495
"['2000-09-10', '2000-09-17']",0.0069678098587654825,0.015441116189977379,0.009113910561394961,0.02749940043800572,0.01337663343989344,0.011683911256588209,0.01024312129054566,0.0035866796811230943,0.005837291146298926,0.012440649891894945
"['2000-09-17', '2000-09-24']",-0.031509977986007465,-0.04461651222863423,-0.043312419845591886,-0.04547587730171402,-0.04005628337293495,-0.04427519414514628,-0.04720847964216296,-0.05257569527187828,-0.03963258755472399,-0.06492140024730547
"['2000-09-24', '2000-10-01']",0.0073953288960589975,0.009750499362834958,0.009994086772594625,-0.0006698484020776646,0.009574643953828434,0.004876324776416221,0.008124733819740191,0.016306347026479196,-0.0046708514117958745,0.01707257244265809
"['2000-10-01', '2000-10-08']",-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765
"['2000-10-08', '2000-10-15']",0.00024943068022085884,0.0018858515824258446,0.009549502321878121,0.0024959263572027985,0.010869415222241299,0.012698675604618825,-0.004221972620712949,-0.007171685847261796,-0.007154103592612896,-0.011672745304461208
