window_period,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
"['2000-01-02', '2000-01-09']",0,0,0,0,0,0,0,0,0,0
"['2000-01-09', '2000-01-16']",0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
"['2000-01-16', '2000-01-23']",0.00018779982831947437,0.00043263146684041566,0.000356770449824739,0.0004155159032522001,0.0005529246361938079,0.000572438103869465,0.0005756282800618703,0.00043567914421336907,0.0003528906470533076,0.0001436593114808642
"['2000-01-23', '2000-01-30']",0.0001986346534497875,0.0003772183354914183,0.0003846874518386189,0.0003033143729080945,0.0004928723481944878,0.0005946581147087951,0.0004015077100768926,0.0003325994027895161,0.00036956608303926345,0.00022530246184771603
"['2000-01-30', '2000-02-06']",0.0001731702607286091,0.0003603574088374326,0.00045935814192414994,0.0003659909054425268,0.0003712898765505214,0.0005886499135338156,0.0006998404857075696,0.00043849783874908347,0.00035500180996698885,0.00020554684853570006
"['2000-02-06', '2000-02-13']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2000-02-13', '2000-02-20']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2000-02-20', '2000-02-27']",0.0003014105698833719,0.0006487432629459593,0.0007776332361151697,0.0008488087973468781,0.0009007379203427521,0.0008011593048704506,0.0008021344826130946,0.0006933684982895522,0.0005058029835436211,0.000250453123626216
"['2000-02-27', '2000-03-05']",0.0002772208007504685,0.0006043496428758701,0.0005549991441370371,0.0006322101626554013,0.0006920342930235777,0.0006941064975248654,0.0007531472589961092,0.0006062555448913521,0.0005262984227423368,0.0002745721285527976
"['2000-03-05', '2000-03-12']",0.0002075993575062217,0.0005782019664206821,0.000603795040493256,0.0005868990999603233,0.0006827056142969085,0.0005669430211254267,0.0006058921510365974,0.0004740898379800516,0.00031495509872906844,0.00012386276221099918
"['2000-03-12', '2000-03-19']",0.0001726231930692179,0.0003478795018128021,0.0006003427326225616,0.0005464261880188656,0.0005535584351026217,0.0005111685662649509,0.0005362870357778311,0.0005851564778269016,0.00039375201067844417,0.00020184618136317257
"['2000-03-19', '2000-03-26']",0.0001248855557187993,0.00026832223774712313,0.0005120774254109008,0.0005168936019174453,0.0006945116507023777,0.0006721920920288726,0.00048086512048206695,0.00040932575277385507,0.00030495354791951223,0.00019159650030580017
"['2000-03-26', '2000-04-02']",9.424541024409258e-05,0.00026187320006020384,0.00046090120306901684,0.00042101829554272885,0.0005353322589721329,0.000537074933806242,0.0003613017453339115,0.0004926325873275068,0.0003529207231382052,0.00013794425845281889
"['2000-04-02', '2000-04-09']",0.00015688520911059857,0.00028686073671951097,0.00040999657443374605,0.0004825986080823323,0.0003742510287762838,0.00038518681099911534,0.0003941282414175807,0.0005023531641549875,0.0003471293009828265,0.00020832507419888443
"['2000-04-09', '2000-04-16']",0.00012974852460179961,0.0004013369078997735,0.0003864931274379975,0.0003740726762990994,0.00040768569216548847,0.00038455100378461066,0.0003406875927015959,0.00043084872884140775,0.0002751485512710715,0.00012060506853068624
"['2000-04-16', '2000-04-23']",0.0001940932734665938,0.00039787876275993177,0.00039888570328294536,0.0004940451827759115,0.00027210073955339243,0.00033417574362175025,0.00039787770932937425,0.0003697339436761061,0.00020297226801045383,8.338461459574737e-05
"['2000-04-23', '2000-04-30']",7.504674378412907e-05,0.00015604877914385557,0.00035703683276525945,0.000579506506919409,0.0005400139836683459,0.0002866294562391392,0.00028656483926710373,0.0003075171147322891,0.00025672810036619665,0.00012634330591213114
"['2000-04-30', '2000-05-07']",0.000125406950840587,0.00030887513186823287,0.00018300092812323853,0.00028456661542699326,0.0005188590151365604,0.0005539314387058218,0.0005224165813717031,0.0003923100824569023,0.0003928634007464816,0.00025323850243807067
"['2000-05-07', '2000-05-14']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2000-05-14', '2000-05-21']",0.00016975800676714104,0.0002530084682368661,0.00027760841035712674,0.0004016122016240721,0.0004556594982175888,0.000375528304045273,0.0003774231573935414,0.0005237794569960168,0.00047733657141521134,0.00029643738512824335
