window_period,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
"['2000-01-02', '2000-01-09']",0,0,0,0,0,0,0,0,0,0
"['2000-01-09', '2000-01-16']",1,1,1,1,1,1,1,1,1,1
"['2000-01-16', '2000-01-23']",0.23474978539934332,0.5407893335505201,0.44596306228092397,0.5193948790652501,0.6911557952422602,0.7155476298368315,0.7195353500773375,0.5445989302667112,0.4411133088166349,0.17957413935108069
"['2000-01-23', '2000-01-30']",0.2482933168122341,0.4715229193642727,0.4808593147982737,0.379142966135118,0.6160904352431095,0.7433226433859941,0.5018846375961159,0.4157492534868952,0.4619576037990791,0.2816280773096449
"['2000-01-30', '2000-02-06']",0.2164628259107617,0.4504467610467905,0.5741976774051872,0.4574886318031586,0.46411234568815174,0.7358123919172692,0.8748006071344621,0.5481222984363543,0.44375226245873606,0.2569335606696247
"['2000-02-06', '2000-02-13']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2000-02-13', '2000-02-20']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2000-02-20', '2000-02-27']",0.37676321235421467,0.8109290786824491,0.9720415451439628,1.0610109966835974,1.1259224004284407,1.001449131088063,1.0026681032663682,0.8667106228619399,0.6322537294295267,0.31306640453277074
"['2000-02-27', '2000-03-05']",0.3465260009380854,0.7554370535948378,0.693748930171296,0.7902627033192517,0.8650428662794721,0.867633121906082,0.9414340737451369,0.7578194311141901,0.6578730284279206,0.34321516069099667
"['2000-03-05', '2000-03-12']",0.2594991968827774,0.7227524580258526,0.7547438006165699,0.7336238749504043,0.8533820178711352,0.7086787764067835,0.7573651887957467,0.5926122974750648,0.3936938734113359,0.1548284527637489
"['2000-03-12', '2000-03-19']",0.21577899133652229,0.4348493772660028,0.7504284157782022,0.6830327350235821,0.6919480438782775,0.638960707831189,0.6703587947222889,0.7314455972836271,0.4921900133480551,0.2523077267039659
"['2000-03-19', '2000-03-26']",0.1561069446484993,0.33540279718390387,0.640096781763626,0.6461170023968065,0.8681395633779723,0.8402401150360908,0.6010814006025837,0.5116571909673185,0.3811919348993902,0.23949562538225022
"['2000-03-26', '2000-04-02']",0.1178067628051156,0.32734150007525487,0.5761265038362712,0.5262728694284111,0.6691653237151662,0.6713436672578024,0.45162718166738924,0.6157907341593831,0.44115090392275663,0.17243032306602363
"['2000-04-02', '2000-04-09']",0.1961065113882483,0.3585759208993884,0.5124957180421824,0.6032482601029154,0.4678137859703547,0.48148351374889414,0.4926603017719757,0.627941455193735,0.433911626228533,0.2604063427486053
