window_period,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
"['2000-01-02', '2000-01-09']",,,,,,,,,,
"['2000-01-09', '2000-01-16']",,,,,,,,,,
"['2000-01-16', '2000-01-23']",,,,,,,,,,
"['2000-01-23', '2000-01-30']",,,,,,,,,,
"['2000-01-30', '2000-02-06']",,,,,,,,,,
"['2000-02-06', '2000-02-13']",,,,,,,,,,
"['2000-02-13', '2000-02-20']",,,,,,,,,,
"['2000-02-20', '2000-02-27']",,,,,,,,,,
"['2000-02-27', '2000-03-05']",,,,,,,,,,
"['2000-03-05', '2000-03-12']",,,,,,,,,,
"['2000-03-12', '2000-03-19']",,,,,,,,,,
"['2000-03-19', '2000-03-26']",,,,,,,,,,
"['2000-03-26', '2000-04-02']",,,,,,,,,,
"['2000-04-02', '2000-04-09']",,,,,,,,,,
"['2000-04-09', '2000-04-16']",,,,,,,,,,
"['2000-04-16', '2000-04-23']",,,,,,,,,,
"['2000-04-23', '2000-04-30']",,,,,,,,,,
"['2000-04-30', '2000-05-07']",,,,,,,,,,
"['2000-05-07', '2000-05-14']",,,,,,,,,,
"['2000-05-14', '2000-05-21']",,,,,,,,,,
"['2000-05-21', '2000-05-28']",,,,,,,,,,
"['2000-05-28', '2000-06-04']",,,,,,,,,,
"['2000-06-04', '2000-06-11']",,,,,,,,,,
"['2000-06-11', '2000-06-18']",,,,,,,,,,
"['2000-06-18', '2000-06-25']",,,,,,,,,,
"['2000-06-25', '2000-07-02']",0.022581002718966146,0.03666754230250114,-0.007186126028597128,0.011808792848179251,-0.012412758431983632,-0.007524007720844288,0.00686292128534711,-0.018753840945047145,-0.0197476221427663,-0.026495242438252794
"['2000-07-02', '2000-07-09']",,,,,,,,,,
"['2000-07-09', '2000-07-16']",0.03446799413394258,0.03474107493018529,0.04133746760008341,0.02253021721940385,0.028978869639488786,0.010558156618813482,0.020363557972329197,0.016554913235966622,0.00495705578638432,0.014972637780854574
"['2000-07-16', '2000-07-23']",0.010788329510094063,-0.002544741655892368,0.007715637795710526,0.010154925936408467,0.003945775924212837,0.006700677216477087,-0.007822632989583744,0.005582432597324556,0.016525331749996347,-0.003177547966493646
"['2000-07-23', '2000-07-30']",0.016622509876880416,0.01248315072330926,0.002630564634938961,0.010846253605929619,0.007447274375362755,0.004948993991593528,-0.0011495801869752947,0.0022770462988246703,0.002572843771262252,0.004988820925663528
"['2000-07-30', '2000-08-06']",-0.0030920507919932503,-0.010185700737625019,-0.00469112842695233,0.0012245460368183235,-0.00042752431197837606,0.006182455904210073,0.010869128930908642,0.005858427237417711,0.008639474232048385,0.028893287616701305
"['2000-08-06', '2000-08-13']",0.01567982673809637,0.004089947740195604,0.013593986453272736,0.007688643499180503,0.013689352386099727,0.0144039371087082,0.018800105678562738,0.014098347053937976,0.021691009171550164,0.02382096533595624
"['2000-08-13', '2000-08-20']",0.013153124799488696,0.008800776946371276,0.008949563099095482,0.004847054360665182,0.014009978318021055,0.00394167346634757,0.013282439808605852,0.013833486064589095,0.0008511445994275037,-0.003566881872865184
"['2000-08-20', '2000-08-27']",0.004078582851552506,-0.014322998164896421,-0.0017484051710268318,0.0018017293172321687,-0.010512776988974858,0.0043314724827723606,-0.000205762441139229,-0.01455033102778295,-0.005523230222300489,-0.01679552201109481
"['2000-08-27', '2000-09-03']",-0.04573961941698678,-0.05183578448336436,-0.05112057938286423,-0.043857787541504614,-0.03317312795307202,-0.03056865540581996,-0.04675654778431275,-0.03219743277904556,-0.03933864500902771,-0.03398279560626752
"['2000-09-03', '2000-09-10']",-0.030531971774295216,-0.024352684230072502,-0.03208037473167005,-0.024559481186593138,-0.027753799388799214,-0.011000041531255519,-0.01161991056453673,6.266337479820031e-05,-0.009785014389937279,-0.02437025009777841
"['2000-09-10', '2000-09-17']",0.011263128348323251,0.009808791570844437,0.018990797919155606,0.014389032962143992,0.01200451969947143,0.01176037649814025,0.016453699173685495,0.006315747279345027,0.011744356551835458,0.004121765726551286
"['2000-09-17', '2000-09-24']",-0.04934374617425581,-0.047015407923807,-0.037199291289410165,-0.04274023795872288,-0.04748910005673271,-0.05332402856184552,-0.04491563472006364,-0.05358697194139605,-0.039158638230726475,-0.05054116440366042
"['2000-09-24', '2000-10-01']",-0.0010533680428220981,-0.00038581601307686607,0.003954694229487706,0.00821594390748207,0.01799029549962148,0.001080950055931285,0.006320399836348942,0.00764268062359354,0.00793838125084677,0.016016643373455257
"['2000-10-01', '2000-10-08']",-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765,-0.00043269230769230765
"['2000-10-08', '2000-10-15']",0.009334946188533377,0.018714301600388537,0.009247081376266278,0.008525824242216661,-0.001635701019074176,0.007320690175983036,-0.0021725811730827407,-0.006175809831719686,-0.012244035862797686,-0.02158675107638897
"['2000-10-15', '2000-10-22']",0.016714781299099778,0.012456119198269845,0.010208389793158823,0.014281286073483486,0.0022636366110983784,0.01760161983467542,0.009435297719058917,0.028343930995644855,-0.0001874489085136293,0.022773424488234408
"['2000-10-22', '2000-10-29']",0.016737128124535337,0.013022676174289734,0.0050089238632119205,0.009118116649433832,0.01439241158776809,0.011854614298119712,0.0024291995040373535,0.001014847416807193,-0.011229752277946738,-0.01750994489900798
"['2000-10-29', '2000-11-05']",0.012318791604642224,0.004064506039981062,0.001193456685693916,0.007286257871660709,0.010618364417403204,0.003965025403899983,0.013073299809854487,-0.0042177832873707514,0.004274030045897792,0.01175226369284495
"['2000-11-05', '2000-11-12']",0.040255823777202195,0.031152943523770786,0.04138889237873069,0.03170294758117362,0.02820694004031143,0.025604373911107006,0.02816821884406702,0.0314861947699689,0.026144396213307598,0.04912834462716157
"['2000-11-12', '2000-11-19']",0.02154910601150209,0.029300618261611185,0.024250645465188115,0.04653667515048146,0.022035576581347572,0.02177768660473041,0.01526200017002301,0.03019764558955288,0.013347637713320171,0.013029466868763892
"['2000-11-19', '2000-11-26']",-0.015109382288253911,-0.015399244345851696,-0.02538803448078974,-0.02143013046478042,-0.016758830335489843,-0.015028594657959629,-0.020542106476930177,-0.026877794913486266,-0.010349959441677421,-0.024271629885405044
"['2000-11-26', '2000-12-03']",0.026103742223843183,0.01890585721665023,0.020209418616321733,0.011427687057448723,0.012762819671453166,0.0023642964743376756,0.013063501892724802,0.00901126711092394,0.004549183200554048,-0.002480997730931762
