window_period,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
"['2000-01-02', '2000-01-09']",0,0,0,0,0,0,0,0,0,0
"['2000-01-09', '2000-01-16']",0,0,0,0,0,0,0,0,0,0
"['2000-01-16', '2000-01-23']",0,0,0,0,0,0,0,0,0,0
"['2000-01-23', '2000-01-30']",0,0,0,0,0,0,0,0,0,0
"['2000-01-30', '2000-02-06']",0,0,0,0,0,0,0,0,0,0
"['2000-02-06', '2000-02-13']",0,0,0,0,0,0,0,0,0,0
"['2000-02-13', '2000-02-20']",0,0,0,0,0,0,0,0,0,0
"['2000-02-20', '2000-02-27']",0,0,0,0,0,0,0,0,0,0
"['2000-02-27', '2000-03-05']",0,0,0,0,0,0,0,0,0,0
"['2000-03-05', '2000-03-12']",0,0,0,0,0,0,0,0,0,0
"['2000-03-12', '2000-03-19']",0,0,0,0,0,0,0,0,0,0
"['2000-03-19', '2000-03-26']",0,0,0,0,0,0,0,0,0,0
"['2000-03-26', '2000-04-02']",0,0,0,0,0,0,0,0,0,0
"['2000-04-02', '2000-04-09']",0,0,0,0,0,0,0,0,0,0
"['2000-04-09', '2000-04-16']",0,0,0,0,0,0,0,0,0,0
"['2000-04-16', '2000-04-23']",0,0,0,0,0,0,0,0,0,0
"['2000-04-23', '2000-04-30']",0,0,0,0,0,0,0,0,0,0
"['2000-04-30', '2000-05-07']",0,0,0,0,0,0,0,0,0,0
"['2000-05-07', '2000-05-14']",0,0,0,0,0,0,0,0,0,0
"['2000-05-14', '2000-05-21']",0,0,0,0,0,0,0,0,0,0
"['2000-05-21', '2000-05-28']",0,0,0,0,0,0,0,0,0,0
"['2000-05-28', '2000-06-04']",0,0,0,0,0,0,0,0,0,0
"['2000-06-04', '2000-06-11']",0,0,0,0,0,0,0,0,0,0
"['2000-06-11', '2000-06-18']",0,0,0,0,0,0,0,0,0,0
"['2000-06-18', '2000-06-25']",0,0,0,0,0,0,0,0,0,0
"['2000-06-25', '2000-07-02']",0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
"['2000-07-02', '2000-07-09']",0.0013,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013
"['2000-07-09', '2000-07-16']",0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
"['2000-07-16', '2000-07-23']",0.0008646784426709831,0.001213062248683375,0.0012081164184544872,0.0011206326977485227,0.0013390288188256634,0.0013125137195601725,0.001224847648121235,0.001133196146263964,0.0010570884578527061,0.0006665891759814471
"['2000-07-23', '2000-07-30']",0.0009849561557974864,0.0012509281353287323,0.0011633835967344804,0.001338552433094663,0.0011344764294809306,0.0012768953543429353,0.0011252866241954558,0.001199256617981417,0.000987536423428719,0.0006366248298451759
"['2000-07-30', '2000-08-06']",0.0008185232982476747,0.0012257348438102543,0.0013422553944456635,0.001229520634542113,0.0012971578936193438,0.0013541096418581166,0.001253404493306368,0.0012872564408863381,0.0011218881984763336,0.00046805444268601087
"['2000-08-06', '2000-08-13']",0.0007731843510237974,0.001158101369710223,0.0013967734697601158,0.001375249617930146,0.0013244842994142734,0.0011729128686992886,0.0011987311259222405,0.0012757931433433158,0.0011161083519453828,0.00041699395498493374
"['2000-08-13', '2000-08-20']",0.0008411518429432391,0.0011891665759454816,0.0013489141851127447,0.0012346130010624534,0.00139697798002609,0.001332767320947376,0.001361688463349883,0.001376450561996003,0.0011054151805662642,0.0006411954227147368
"['2000-08-20', '2000-08-27']",0.0008259365684448103,0.0013129656491639692,0.0011419780652151181,0.0013689763071497523,0.001353791841970922,0.001343643807764913,0.0013856569403932553,0.001302538090610137,0.0011395532891553492,0.0008768450382368237
"['2000-08-27', '2000-09-03']",0.0009728668605040124,0.0011897880803893313,0.0012541315658471013,0.0011012905565911738,0.0014269111169654867,0.0013582083882396076,0.0012957385498104865,0.0012379246925698995,0.0010660462413784062,0.0007415538187448091
"['2000-09-03', '2000-09-10']",0.0008210361810458119,0.0012526514172306197,0.001293537608888211,0.0010855880035697044,0.0012416963763803883,0.0011118221463293754,0.0011394704744044032,0.0011985310526741203,0.0011712402276860931,0.0003896626431970534
"['2000-09-10', '2000-09-17']",0.000856498093215229,0.0010561208719290826,0.001394134557452904,0.0012186314228762852,0.0012449431568068285,0.0012105555610983814,0.0011817327319817257,0.0013070557788517853,0.0010165020745497946,0.0005868601701505544
"['2000-09-17', '2000-09-24']",0.000769097494896709,0.0011897957065658343,0.0013263476620325228,0.0014049482664388409,0.001364849747642765,0.0014126146802470583,0.0013048836105087292,0.0013966304010497987,0.0009558220437478331,0.0007875241703515646
"['2000-09-24', '2000-10-01']",0.0010534752171193185,0.001130282109675701,0.0013094495098980707,0.0013935286756814168,0.0013091590597117894,0.0012936711400453294,0.0013702771422325654,0.0012687770484449703,0.0012504410200631674,0.0008431497185697838
"['2000-10-01', '2000-10-08']",0.0008434987308606448,0.0011219072632540942,0.0012089243859088898,0.00127424395781385,0.0010155723110937443,0.0012516633230755963,0.0012480428303488877,0.0011215736445673778,0.001126103044495379,0.0005909846194230642
"['2000-10-08', '2000-10-15']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2000-10-15', '2000-10-22']",0.0008288883260242759,0.0011068077835014066,0.0011852091515946737,0.001321835380815693,0.0012016758372148475,0.0012252851203446726,0.0013669878538797643,0.0013049335985576447,0.00123742621184073,0.0004920367693751782
