window_period,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
"['2000-01-02', '2000-01-09']",0,0,0,0,0,0,0,0,0,0
"['2000-01-09', '2000-01-16']",0,0,0,0,0,0,0,0,0,0
"['2000-01-16', '2000-01-23']",0,0,0,0,0,0,0,0,0,0
"['2000-01-23', '2000-01-30']",0,0,0,0,0,0,0,0,0,0
"['2000-01-30', '2000-02-06']",0,0,0,0,0,0,0,0,0,0
"['2000-02-06', '2000-02-13']",0,0,0,0,0,0,0,0,0,0
"['2000-02-13', '2000-02-20']",0,0,0,0,0,0,0,0,0,0
"['2000-02-20', '2000-02-27']",0,0,0,0,0,0,0,0,0,0
"['2000-02-27', '2000-03-05']",0,0,0,0,0,0,0,0,0,0
"['2000-03-05', '2000-03-12']",0,0,0,0,0,0,0,0,0,0
"['2000-03-12', '2000-03-19']",0,0,0,0,0,0,0,0,0,0
"['2000-03-19', '2000-03-26']",0,0,0,0,0,0,0,0,0,0
"['2000-03-26', '2000-04-02']",0,0,0,0,0,0,0,0,0,0
"['2000-04-02', '2000-04-09']",0,0,0,0,0,0,0,0,0,0
"['2000-04-09', '2000-04-16']",0,0,0,0,0,0,0,0,0,0
"['2000-04-16', '2000-04-23']",0,0,0,0,0,0,0,0,0,0
"['2000-04-23', '2000-04-30']",0,0,0,0,0,0,0,0,0,0
"['2000-04-30', '2000-05-07']",0,0,0,0,0,0,0,0,0,0
"['2000-05-07', '2000-05-14']",0,0,0,0,0,0,0,0,0,0
"['2000-05-14', '2000-05-21']",0,0,0,0,0,0,0,0,0,0
"['2000-05-21', '2000-05-28']",0,0,0,0,0,0,0,0,0,0
"['2000-05-28', '2000-06-04']",0,0,0,0,0,0,0,0,0,0
"['2000-06-04', '2000-06-11']",0,0,0,0,0,0,0,0,0,0
"['2000-06-11', '2000-06-18']",0,0,0,0,0,0,0,0,0,0
"['2000-06-18', '2000-06-25']",0,0,0,0,0,0,0,0,0,0
"['2000-06-25', '2000-07-02']",1,1,1,1,1,1,1,1,1,1
"['2000-07-02', '2000-07-09']",1,1,1,1,1,1,1,1,1,1
"['2000-07-09', '2000-07-16']",1,1,1,1,1,1,1,1,1,1
"['2000-07-16', '2000-07-23']",1.0808480533387286,1.5163278108542193,1.510145523068109,1.4007908721856535,1.6737860235320796,1.6406421494502155,1.5310595601515438,1.416495182829955,1.3213605723158828,0.8332364699768091
"['2000-07-23', '2000-07-30']",1.2311951947468582,1.5636601691609153,1.4542294959181008,1.6731905413683292,1.4180955368511636,1.5961191929286693,1.4066082802443198,1.4990707724767716,1.2344205292858987,0.7957810373064695
"['2000-07-30', '2000-08-06']",1.0231541228095935,1.532168554762818,1.6778192430570789,1.536900793177641,1.6214473670241794,1.6926370523226457,1.56675561663296,1.6090705511079233,1.4023602480954174,0.5850680533575137
"['2000-08-06', '2000-08-13']",0.9664804387797465,1.4476267121377788,1.745966837200145,1.719062022412682,1.6556053742678416,1.466141085874111,1.4984139074028007,1.5947414291791446,1.3951354399317286,0.5212424437311669
"['2000-08-13', '2000-08-20']",1.051439803679049,1.4864582199318521,1.6861427313909305,1.5432662513280668,1.7462224750326127,1.66595915118422,1.7021105791873539,1.7205632024950037,1.3817689757078297,0.8014942783934214
"['2000-08-20', '2000-08-27']",1.032420710556013,1.6412070614549612,1.4274725815188978,1.71122038393719,1.6922398024636527,1.679554759706141,1.732071175491569,1.6281726132626715,1.4244416114441867,1.0960562977960298
"['2000-08-27', '2000-09-03']",1.2160835756300155,1.4872351004866642,1.5676644573088767,1.3766131957389671,1.7836388962068586,1.6977604852995094,1.6196731872631085,1.5474058657123742,1.3325578017230075,0.9269422734310111
"['2000-09-03', '2000-09-10']",1.026295226307265,1.5658142715382746,1.6169220111102636,1.3569850044621306,1.5521204704754856,1.3897776829117194,1.4243380930055043,1.498163815842651,1.464050284607616,0.487078303996317
"['2000-09-10', '2000-09-17']",1.070622616519036,1.3201510899113533,1.7426681968161302,1.5232892785953567,1.5561789460085356,1.5131944513729771,1.477165914977157,1.6338197235647312,1.2706275931872435,0.7335752126881929
"['2000-09-17', '2000-09-24']",0.9613718686208863,1.4872446332072924,1.6579345775406535,1.7561853330485513,1.7060621845534558,1.7657683503088228,1.6311045131359119,1.7457880013122482,1.1947775546847912,0.9844052129394558
"['2000-09-24', '2000-10-01']",1.316844021399148,1.4128526370946266,1.6368118873725885,1.7419108446017708,1.6364488246397366,1.6170889250566622,1.7128464277907067,1.585971310556213,1.5630512750789594,1.0539371482122297
"['2000-10-01', '2000-10-08']",1.0543734135758065,1.4023840790676174,1.511155482386113,1.5928049472673125,1.26946538886718,1.5645791538444953,1.5600535379361098,1.4019670557092225,1.407628805619224,0.7387307742788305
"['2000-10-08', '2000-10-15']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2000-10-15', '2000-10-22']",1.036110407530345,1.3835097293767586,1.481511439493342,1.6522942260196165,1.5020947965185596,1.5316064004308412,1.708734817349705,1.631166998197056,1.5467827648009127,0.6150459617189725
"['2000-10-22', '2000-10-29']",1.1880052304492994,1.2494665686705746,1.5417015275916799,1.7422505463321225,1.7066754283293866,1.6643016720658261,1.5952826967013771,1.5139447082302315,1.3322759376858562,0.7691825405224663
"['2000-10-29', '2000-11-05']",1.200027376077962,1.3837405400232736,1.755562859494318,1.6845493463517132,1.6794750864674124,1.6769113869462338,1.7913364058457688,1.617885862666872,1.4196769855570937,0.7563070784590497
